"game","resolution","avg","min","max","onepercent","pointone"
"HorizonZeroDawn","1440 stock","94.7","72.9","132.9","72.9","69.2"
"HorizonZeroDawn","1440 MAX","97.1","74.8","118.5","75.1","67.1"
"HorizonZeroDawn","1080 stock","116.9","85.7","151.9","86.0","78.4"
"HorizonZeroDawn","1080 MAX","119.9","87.3","156.7","87.9","80.9"
"HorizonZeroDawn","4K stock","49.3","40.1","61.1","40.4","39.2"
"HorizonZeroDawn","4k MAX","50.0","41.3","61.5","41.6","39.4"
"SOTTR","4k stock","74.2","61.5","111.5","61.6","44.0"
"SOTTR","4k MAX","74.2","61.5","110.9","61.7","43.2"
"SOTTR","1440 stock","131.0","102.1","211.1","99.9","44.7"
"SOTTR","1440 MAX","135.3","104.6","216.9","102.2","43.3"
"SOTTR","1080 stock","175.4","121.7","311.2","110.6","42.7"
"SOTTR","1080 MAX","179.5","119.6","305.9","111.7","43.4"
"FarCry5","4k stock","72.6","62.9","92.8","62.8","56.7"
"FarCry5","4k MAX","75.3","65.4","94.6","65.2","35.1"
"FarCry5","1440 stock","130.2","111.9","148.9","108.2","94.0"
"FarCry5","1440 MAX","131.8","110.6","154.2","106.9","55.9"
"FarCry5","1080 stock","143.5","110.6","193.9","109.0","101.7"
"FarCry5","1080 MAX","141.9","110.7","191.8","107.0","54.9"
"Borderlands3","4k stock","46.1","41.1","53.0","41.0","39.0"
"Borderlands3","4K MAX","48.6","43.3","56.3","43.4","41.8"
"Borderlands3","1440 stock","83.6","76.3","97.7","74.6","54.2"
"Borderlands3","1440 MAX","86.2","77.9","100.9","76.5","64.5"
"Borderlands3","1080 stock","114.6","101.1","136.9","98.0","80.0"
"Borderlands3","1080 MAX","117.9","104.3","141.5","101.3","84.5"
