"game","resolution","avg","min","max","onepercent","pointone"
"Borderlands3","4K stock","46.7","41.5","53.9","41.6","39.4"
"Borderlands3","1440 stock","83.8","75.4","98.1","73.7","50.4"
"Borderlands3","1080 stock","113.4","100.3","136.4","97.3","60.2"
"SOTTR","4K stock","75.6","62.6","113.5","62.8","43.9"
"SOTTR","1440 stock","133.0","103.5","212.5","102.3","45.8"
"SOTTR","1080 stock","180.6","124.6","314.4","117.6","44.6"
"HorizonZeroDawn","4k stock","49.5","40.7","61.7","40.7","38.1"
"HorizonZeroDawn","1440 stock","92.5","71.1","112.7","71.3","67.7"
"HorizonZeroDawn","1080 stock","113.5","83.7","148.1","83.6","77.3"
"FarCry5","4k stock","73.5","63.3","93.3","63.1","48.7"
"FarCry5","1440 stock","131.1","113.8","148.8","110.3","86.5"
"FarCry5","1080 stock","146.0","111.5","199.6","108.9","102.8"
