Date,Time,"Virtual Memory Commited [MB]","Virtual Memory Available [MB]","Virtual Memory Load [%]","Physical Memory Used [MB]","Physical Memory Available [MB]","Physical Memory Load [%]","Page File Usage [%]","Core 0 VID [V]","Core 1 VID [V]","Core 2 VID [V]","Core 3 VID [V]","Core 0 Clock [MHz]","Core 1 Clock [MHz]","Core 2 Clock [MHz]","Core 3 Clock [MHz]","Bus Clock [MHz]","Uncore Clock [MHz]","PCIe Clock [MHz]","Core 0 Effective Clock [MHz]","Core 1 Effective Clock [MHz]","Core 2 Effective Clock [MHz]","Core 3 Effective Clock [MHz]","Average Effective Clock [MHz]","Core 0 Usage [%]","Core 1 Usage [%]","Core 2 Usage [%]","Core 3 Usage [%]","Max CPU/Thread Usage [%]","Total CPU Usage [%]","On-Demand Clock Modulation [%]","Core 0 Ratio [x]","Core 1 Ratio [x]","Core 2 Ratio [x]","Core 3 Ratio [x]","Uncore Ratio [x]","Core 0 [°C]","Core 1 [°C]","Core 2 [°C]","Core 3 [°C]","Core 0 Distance to TjMAX [°C]","Core 1 Distance to TjMAX [°C]","Core 2 Distance to TjMAX [°C]","Core 3 Distance to TjMAX [°C]","CPU Package [°C]","Core Max [°C]","Core 0 Thermal Throttling [Yes/No]","Core 1 Thermal Throttling [Yes/No]","Core 2 Thermal Throttling [Yes/No]","Core 3 Thermal Throttling [Yes/No]","Core 0 Critical Temperature [Yes/No]","Core 1 Critical Temperature [Yes/No]","Core 2 Critical Temperature [Yes/No]","Core 3 Critical Temperature [Yes/No]","Core 0 Power Limit Exceeded [Yes/No]","Core 1 Power Limit Exceeded [Yes/No]","Core 2 Power Limit Exceeded [Yes/No]","Core 3 Power Limit Exceeded [Yes/No]","Package/Ring Thermal Throttling [Yes/No]","Package/Ring Critical Temperature [Yes/No]","Package/Ring Power Limit Exceeded [Yes/No]","CPU Package [°C]","CPU IA Cores [°C]","CPU GT Cores (Graphics) [°C]","IA Voltage Offset [V]","GT Voltage Offset [V]","CLR (CBo/LLC/Ring) Voltage Offset [V]","Uncore/SA Voltage Offset [V]","Analog IO Voltage Offset [V]","Digital IO Voltage Offset [V]","CPU Package Power [W]","IA Cores Power [W]","Total DRAM Power [W]","GT OC Ratio Limit [x]","Core 0 T0 C0 Residency [%]","Core 1 T0 C0 Residency [%]","Core 2 T0 C0 Residency [%]","Core 3 T0 C0 Residency [%]","Core 0 C3 Residency [%]","Core 1 C3 Residency [%]","Core 2 C3 Residency [%]","Core 3 C3 Residency [%]","Core 0 C7 Residency [%]","Core 1 C7 Residency [%]","Core 2 C7 Residency [%]","Core 3 C7 Residency [%]","Memory Clock [MHz]","Memory Clock Ratio [x]","Tcas [T]","Trcd [T]","Trp [T]","Tras [T]","Trfc [T]","Command Rate [T]","IA: PROCHOT [Yes/No]","IA: Thermal Event [Yes/No]","IA: Graphics Driver [Yes/No]","IA: Autonomous Utilization-Based Frequency Control [Yes/No]","IA: VR Thermal Alert [Yes/No]","IA: Electrical Design Point/Other (ICCmax,PL4,SVID,DDR RAPL) [Yes/No]","IA: Domain-Level PBM PL1 [Yes/No]","IA: Package-Level RAPL/PBM PL1 [Yes/No]","IA: Package-Level RAPL/PBM PL2,PL3 [Yes/No]","IA: Max Turbo Limit [Yes/No]","IA: Turbo Attenuation (MCT) [Yes/No]","GT: Thermal Event [Yes/No]","GT: Graphics Driver [Yes/No]","GT: VR Thermal Alert [Yes/No]","GT: Max VR Voltage, ICCmax, PL4 [Yes/No]","GT: Domain-Level PBM PLGT [Yes/No]","GT: Package-Level RAPL/PBM PL1 [Yes/No]","GT: Package-Level RAPL/PBM PL2,PL3 [Yes/No]","RING: Running Average Thermal Limit [Yes/No]","RING: VR Thermal Alert [Yes/No]","RING: VR TDC [Yes/No]","RING: Max VR Voltage, ICCmax, PL4 [Yes/No]","RING: Domain-Level PBM PL1 [Yes/No]","RING: Package-Level RAPL/PBM PL1 [Yes/No]","RING: Package-Level RAPL/PBM PL2,PL3 [Yes/No]","Motherboard [°C]","Auxiliary [°C]","AUXTIN1 [°C]","CPU (PECI) [°C]","VCCIN [V]","+5V [V]","+3.3V (AVCC) [V]","+3.3V (3VCC) [V]","+12V [V]","CPU SA [V]","VIN4 [V]","3VSB [V]","VBAT [V]","VTT [V]","Vcore [V]","CPU I/O [V]","DIMM [V]","VRING [V]","CPU 1 [RPM]","Chassis1 [RPM]","Chassis3 [RPM]","Chassis Intrusion [Yes/No]","Drive Temperature [°C]","Drive Failure [Yes/No]","Drive Warning [Yes/No]","Drive Temperature [°C]","Drive Failure [Yes/No]","Drive Warning [Yes/No]","Total Host Writes [GB]","Total Host Reads [GB]","Read Activity [%]","Write Activity [%]","Total Activity [%]","Read Rate [MB/s]","Write Rate [MB/s]","Read Total [MB]","Write Total [MB]","Read Activity [%]","Write Activity [%]","Total Activity [%]","Read Rate [MB/s]","Write Rate [MB/s]","Read Total [MB]","Write Total [MB]","Read Activity [%]","Write Activity [%]","Total Activity [%]","Read Rate [MB/s]","Write Rate [MB/s]","Read Total [MB]","GPU Temperature [°C]","GPU Core Voltage [V]","GPU PCIe +12V Input Voltage [V]","GPU 8-pin #1 Input Voltage [V]","GPU Fan [RPM]","GPU Power [W]","GPU PCIe +12V Input Power [W]","GPU 8-pin #1 Input Power [W]","GPU FBVDD_Q Input Power (sum) [W]","GPU Core (NVVDD) Input Power (sum) [W]","GPU Core (NVVDD) Output Power (sum) [W]","GPU Clock [MHz]","GPU Memory Clock [MHz]","GPU Video Clock [MHz]","GPU Effective Clock [MHz]","GPU Core Load [%]","GPU Memory Controller Load [%]","GPU Video Engine Load [%]","GPU Bus Load [%]","GPU Memory Usage [%]","GPU D3D Usage [%]","GPU Video Decode 0 Usage [%]","GPU Video Encode 0 Usage [%]","GPU Computing (Compute_0) Usage [%]","GPU Computing (Compute_1) Usage [%]","GPU VR Usage [%]","GPU Fan [%]","Performance Limit - Power [Yes/No]","Performance Limit - Thermal [Yes/No]","Performance Limit - Reliability Voltage [Yes/No]","Performance Limit - Max Operating Voltage [Yes/No]","Performance Limit - Utilization [Yes/No]","Performance Limit - SLI GPUBoost Sync [Yes/No]","Total GPU Power (normalized) [% of TDP] [%]","Total GPU Power [% of TDP] [%]","GPU Memory Allocated [MB]","GPU D3D Memory Dedicated [MB]","GPU D3D Memory Dynamic [MB]","PCIe Link Speed [GT/s]","Framerate [FPS]","Total DL [MB]","Total UP [MB]","Current DL rate [KB/s]","Current UP rate [KB/s]","Total DL [MB]","Total UP [MB]","Current DL rate [KB/s]","Current UP rate [KB/s]","Total Errors []",
8.2.2021,17:55:22.015,7741,7328,51.3,4293,3850,52.7,7.1,1.025,1.027,1.047,1.050,3663.4,3663.4,3762.4,3762.4,99.0,3663.4,99.0,992.2,1259.2,1053.4,1252.8,1139.4,25.0,33.3,28.8,30.5,33.3,29.4,100.0,37.0,37.0,38.0,38.0,37.0,38,36,34,33,62,64,66,67,39,38,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,39,39,39,0.000,0.000,0.000,0.000,0.000,0.000,23.779,14.733,2.075,25.0,26.3,33.2,27.9,33.0,8.7,3.4,4.3,2.4,46.8,43.4,49.8,46.3,792.1,8.00,11,11,11,28,128,1,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,36.0,30.0,49.0,39.0,1.744,5.120,3.360,3.360,12.192,0.824,1.120,3.424,2.944,1.008,0.976,1.008,1.488,1.872,707,915,908,No,30,No,No,32,No,No,801,2586,77.8,10.1,87.9,3.029,0.542,18895,6236,42.3,15.5,57.8,1.392,0.098,8486,210,0.0,0.0,0.0,0.000,0.000,4029,57,1.037,12.104,12.144,0,31.531,19.657,10.201,10.209,13.601,11.562,1189.7,1752.8,975.7,1189.7,14.0,10.0,0.0,0.0,31.2,12.0,0.0,0.0,2.5,0.0,0.0,0,No,No,No,No,Yes,No,29.5,24.9,640,613,29,8.0,27,405,29,0.168,0.226,0,0,0.000,0.000,0,
8.2.2021,17:55:24.741,8163,6906,54.1,4456,3687,54.7,7.1,1.025,1.027,1.047,1.025,3663.4,3663.4,3762.4,3663.4,99.0,3663.4,99.0,1542.5,1701.2,1566.9,1548.9,1589.9,41.8,46.3,42.4,40.7,46.3,42.8,100.0,37.0,37.0,38.0,37.0,37.0,45,39,40,37,55,61,60,63,45,45,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,44,44,39,0.000,0.000,0.000,0.000,0.000,0.000,27.656,18.772,2.159,25.0,41.4,45.5,42.0,41.6,5.6,4.8,4.4,5.8,32.3,31.0,37.8,39.4,792.1,8.00,11,11,11,28,128,1,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,36.0,20.0,24.0,44.0,1.728,5.120,3.360,3.360,12.192,0.824,1.104,3.424,2.944,1.008,1.032,1.016,1.488,1.864,710,922,924,No,30,No,No,32,No,No,801,2586,100.0,18.5,100.0,9.695,0.764,18920,6238,76.3,0.0,76.3,7.272,0.000,8505,210,0.0,0.0,0.0,0.000,0.000,4029,56,1.037,12.088,12.128,0,33.610,20.308,11.631,10.391,15.512,13.187,1189.7,1752.8,975.7,1189.7,12.0,8.0,0.0,1.0,32.2,12.5,0.0,0.0,1.1,0.0,0.0,0,No,No,No,No,Yes,No,29.8,25.9,660,634,51,8.0,27,405,29,5.867,2.902,0,0,0.000,0.000,0,
8.2.2021,17:55:27.361,8420,6649,55.8,4673,3470,57.3,7.1,1.020,1.022,1.022,1.025,3663.4,3663.4,3663.4,3663.4,99.0,3663.4,99.0,3294.0,3315.9,3342.1,3411.6,3340.9,92.0,90.2,88.5,92.0,92.0,90.7,100.0,37.0,37.0,37.0,37.0,37.0,46,45,46,42,54,55,54,58,46,46,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,47,47,40,0.000,0.000,0.000,0.000,0.000,0.000,46.199,37.264,2.630,25.0,88.9,89.5,90.2,92.1,1.4,0.2,0.5,0.2,4.0,7.2,3.6,2.9,792.1,8.00,11,11,11,28,128,1,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,37.0,20.0,24.0,46.0,1.728,5.120,3.360,3.360,12.192,0.824,1.104,3.424,2.944,1.016,1.032,1.016,1.488,1.864,702,909,918,No,30,No,No,32,No,No,801,2586,20.6,1.6,22.2,0.151,0.353,18920,6239,19.7,10.5,30.2,3.488,0.096,8514,211,0.0,0.0,0.0,0.000,0.000,4029,57,1.037,12.088,12.128,0,35.135,20.876,12.589,10.642,16.785,14.269,1189.7,1752.8,975.7,1189.7,16.0,12.0,0.0,1.0,32.5,14.1,0.0,0.0,0.0,0.0,0.0,0,No,No,No,No,Yes,No,32.9,27.0,665,639,52,8.0,27,405,29,210.295,4.630,0,0,0.000,0.000,0,
8.2.2021,17:55:29.936,8436,6633,55.9,4678,3465,57.4,7.1,1.025,1.022,1.022,1.025,3663.4,3663.4,3663.4,3663.4,99.0,3663.4,99.0,3668.7,3676.2,3630.5,3650.2,3656.4,100.0,100.0,98.8,98.8,100.0,99.4,100.0,37.0,37.0,37.0,37.0,37.0,44,45,42,40,56,55,58,60,45,45,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,45,45,40,0.000,0.000,0.000,0.000,0.000,0.000,49.291,40.424,2.659,25.0,99.2,99.4,98.1,98.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,792.1,8.00,11,11,11,28,128,1,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,36.0,20.0,24.0,47.0,1.728,5.120,3.360,3.360,12.192,0.824,1.104,3.424,2.944,1.008,1.032,1.016,1.488,1.864,700,915,922,No,30,No,No,32,No,No,801,2586,65.0,6.8,71.8,0.602,0.199,18922,6239,0.0,2.3,2.3,0.000,0.063,8514,211,0.0,0.0,0.0,0.000,0.000,4029,57,1.037,12.088,12.128,0,37.922,22.121,14.129,11.375,18.835,16.012,1189.7,1752.8,975.7,1189.7,18.0,13.0,0.0,1.0,32.6,14.8,0.0,0.0,6.5,0.0,0.0,0,No,No,No,No,Yes,No,31.1,29.2,668,642,53,8.0,27,406,29,3.584,2.334,0,0,0.000,0.000,0,
8.2.2021,17:55:32.521,8427,6642,55.9,4683,3460,57.5,7.1,1.025,1.027,1.027,1.050,3663.4,3663.4,3663.4,3762.4,99.0,3663.4,99.0,756.1,1266.1,688.9,878.9,897.5,15.7,16.3,13.3,22.4,22.4,16.9,100.0,37.0,37.0,37.0,38.0,37.0,37,35,35,33,63,65,65,67,38,37,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,38,37,38,0.000,0.000,0.000,0.000,0.000,0.000,19.826,11.179,2.190,25.0,20.0,33.1,18.2,23.1,4.0,3.1,2.9,1.2,65.4,45.5,68.1,60.3,792.1,8.00,11,11,11,28,128,1,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,36.0,30.0,94.0,38.0,1.744,5.120,3.360,3.360,12.192,0.824,0.984,3.424,2.944,1.008,1.025,1.008,1.488,1.864,700,915,924,No,30,No,No,32,No,No,801,2586,64.3,0.1,64.4,1.468,0.091,18925,6239,0.0,4.3,4.3,0.000,0.026,8514,211,0.0,0.0,0.0,0.000,0.000,4029,57,1.037,12.096,12.136,0,36.312,21.277,13.362,10.781,17.816,15.144,1189.7,1752.8,975.7,1189.7,16.0,11.0,0.0,1.0,32.5,15.2,0.0,0.0,5.8,0.0,0.0,0,No,No,No,No,Yes,No,32.5,27.9,666,640,53,8.0,27,406,29,2.999,1.536,0,0,0.000,0.000,0,
8.2.2021,17:55:35.104,8423,6645,55.8,4679,3464,57.4,7.1,1.025,1.047,1.071,1.070,3663.4,3762.4,3861.4,3861.4,99.0,3663.4,99.0,428.1,1097.8,528.3,591.7,661.5,9.6,12.1,11.5,13.3,13.3,11.6,100.0,37.0,38.0,39.0,39.0,37.0,36,37,35,33,64,63,65,67,38,37,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,37,37,37,0.000,0.000,0.000,0.000,0.000,0.000,16.441,8.323,1.968,25.0,11.3,28.5,13.9,15.5,2.9,2.2,1.3,2.0,77.7,53.6,76.4,74.6,792.1,8.00,11,11,11,28,128,1,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,36.0,27.0,90.0,38.0,1.744,5.120,3.360,3.360,12.192,0.824,0.920,3.424,2.944,1.008,1.025,1.008,1.488,1.872,700,915,909,No,30,No,No,32,No,No,801,2586,3.2,0.2,3.4,0.024,0.115,18925,6240,0.0,3.2,3.2,0.000,0.038,8514,211,0.0,0.0,0.0,0.000,0.000,4029,57,1.037,12.096,12.136,0,33.533,20.612,11.250,10.819,15.000,12.751,1189.7,1752.8,975.7,1189.7,18.0,14.0,0.0,1.0,32.5,14.1,0.0,0.0,3.4,0.0,0.0,0,No,No,No,No,Yes,No,30.6,25.8,666,640,54,8.0,27,406,29,0.000,0.000,0,0,0.000,0.000,0,
8.2.2021,17:55:37.660,8422,6647,55.8,4677,3466,57.4,7.1,1.025,1.071,1.071,1.070,3663.4,3861.4,3861.4,3861.4,99.0,3762.4,99.0,428.7,1044.1,449.5,645.9,642.0,8.4,10.9,6.0,12.7,12.7,9.5,100.0,37.0,39.0,39.0,39.0,38.0,36,37,35,32,64,63,65,68,38,37,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,38,37,38,0.000,0.000,0.000,0.000,0.000,0.000,16.398,8.235,1.974,25.0,11.2,27.1,11.8,16.8,2.7,2.6,1.3,1.8,77.8,54.0,78.7,73.6,792.1,8.00,11,11,11,28,128,1,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,36.0,31.0,108.0,38.0,1.728,5.120,3.360,3.360,12.192,0.824,1.104,3.424,2.944,1.008,1.025,1.008,1.488,1.864,701,915,909,No,30,No,No,32,No,No,801,2586,0.0,1.0,1.0,0.000,0.118,18925,6240,0.0,0.0,0.0,0.000,0.014,8514,211,0.0,0.0,0.0,0.000,0.000,4029,57,1.037,12.104,12.136,0,32.105,19.754,10.680,10.148,14.236,12.102,1189.7,1752.8,975.7,1189.7,19.0,13.0,0.0,1.0,32.5,15.4,0.0,0.0,5.9,0.0,0.0,0,No,No,No,No,Yes,No,29.8,24.7,666,640,53,8.0,27,406,29,0.243,0.228,0,0,0.000,0.000,0,
8.2.2021,17:55:40.439,8503,6566,56.4,4615,3528,56.6,7.1,1.025,1.027,1.027,1.050,3663.4,3663.4,3663.4,3762.4,99.0,3663.4,99.0,792.6,1378.2,1040.6,969.4,1045.2,17.6,21.3,24.3,22.5,24.3,21.4,100.0,37.0,37.0,37.0,38.0,37.0,39,38,39,36,61,62,61,64,40,39,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,41,41,39,0.000,0.000,0.000,0.000,0.000,0.000,22.192,13.301,2.119,25.0,21.1,36.2,27.5,25.7,4.7,2.2,5.0,5.7,58.2,36.7,52.6,56.7,792.1,8.00,11,11,11,28,128,1,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,36.0,20.0,31.0,40.0,1.744,5.120,3.360,3.360,12.192,0.824,1.144,3.424,2.944,1.008,1.025,1.008,1.488,1.864,706,909,924,No,30,No,No,32,No,No,801,2586,3.8,0.1,3.9,0.101,0.095,18926,6240,48.7,0.0,48.7,5.834,0.008,8529,211,0.0,0.0,0.0,0.000,0.000,4029,61,1.212,12.040,12.080,0,74.435,32.905,39.864,13.613,53.152,45.183,1354.2,1752.8,1110.5,1354.2,57.0,47.0,0.0,1.0,40.7,27.9,0.0,0.0,5.8,0.0,0.0,0,No,No,Yes,No,No,No,55.0,57.3,833,806,53,8.0,27,406,29,15.286,4.754,0,0,0.000,0.000,0,
8.2.2021,17:55:43.067,8539,6530,56.6,4750,3393,58.3,7.1,1.025,1.071,1.047,1.050,3663.4,3861.4,3762.4,3762.4,99.0,3663.4,99.0,1148.6,1441.6,1421.6,1498.2,1377.5,30.5,36.7,34.4,38.4,38.4,35.0,100.0,37.0,39.0,38.0,38.0,37.0,36,37,40,35,64,63,60,65,40,40,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,41,41,39,0.000,0.000,0.000,0.000,0.000,0.000,26.537,17.095,2.331,25.0,30.7,38.3,37.8,39.8,8.1,5.0,8.9,5.5,32.2,28.8,31.1,28.4,792.1,8.00,11,11,11,28,128,1,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,36.0,26.0,81.0,39.0,1.728,5.120,3.360,3.360,12.192,0.824,1.104,3.424,2.944,1.008,0.928,1.008,1.488,1.872,704,923,917,No,30,No,No,32,No,No,801,2586,1.3,0.1,1.3,0.006,0.089,18926,6240,63.5,13.5,77.0,34.625,0.049,8616,211,0.0,0.0,0.0,0.000,0.000,4029,61,1.187,12.048,12.088,0,69.040,31.313,36.059,13.284,48.074,40.870,1342.0,1752.8,1101.1,1342.0,59.0,45.0,0.0,1.0,42.6,53.7,0.0,0.0,10.8,0.0,0.0,0,No,No,Yes,No,No,No,51.9,53.1,873,847,51,8.0,27,406,29,10.499,6.299,0,0,0.000,0.000,0,
8.2.2021,17:55:45.610,8533,6536,56.6,4756,3387,58.4,7.1,1.025,1.047,1.071,1.070,3663.4,3762.4,3861.4,3861.4,99.0,3663.4,99.0,857.0,1306.9,1253.1,1408.4,1206.3,18.9,23.6,30.7,39.0,39.0,28.1,100.0,37.0,38.0,39.0,39.0,37.0,37,38,39,36,63,62,61,64,39,39,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,38,37,38,0.000,0.000,0.000,0.000,0.000,0.000,23.478,14.743,2.188,25.0,22.8,34.4,33.0,37.0,4.0,2.1,4.4,1.5,58.9,49.5,48.1,44.8,792.1,8.00,11,11,11,28,128,1,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,36.0,27.0,85.0,39.0,1.744,5.120,3.360,3.360,12.192,0.824,1.016,3.424,2.944,1.008,1.025,1.008,1.488,1.864,703,922,918,No,30,No,No,32,No,No,801,2586,0.0,0.0,0.0,0.000,0.009,18926,6240,0.0,0.0,0.0,0.000,0.000,8616,211,0.0,0.0,0.0,0.000,0.000,4029,62,1.187,12.056,12.096,0,64.974,29.417,33.893,12.105,45.191,38.417,1342.0,1752.8,1101.1,1342.0,54.0,43.0,0.0,1.0,42.6,55.3,0.0,0.0,13.0,0.0,0.0,0,No,No,Yes,No,No,No,51.9,50.0,873,846,43,8.0,27,406,29,2.672,2.339,0,0,0.000,0.000,0,
