Date,Time,"Virtual Memory Commited [MB]","Virtual Memory Available [MB]","Virtual Memory Load [%]","Physical Memory Used [MB]","Physical Memory Available [MB]","Physical Memory Load [%]","Page File Usage [%]","Core 0 VID [V]","Core 1 VID [V]","Core 2 VID [V]","Core 3 VID [V]","Core 0 Clock [MHz]","Core 1 Clock [MHz]","Core 2 Clock [MHz]","Core 3 Clock [MHz]","Bus Clock [MHz]","Uncore Clock [MHz]","PCIe Clock [MHz]","Core 0 Effective Clock [MHz]","Core 1 Effective Clock [MHz]","Core 2 Effective Clock [MHz]","Core 3 Effective Clock [MHz]","Average Effective Clock [MHz]","Core 0 Usage [%]","Core 1 Usage [%]","Core 2 Usage [%]","Core 3 Usage [%]","Max CPU/Thread Usage [%]","Total CPU Usage [%]","On-Demand Clock Modulation [%]","Core 0 Ratio [x]","Core 1 Ratio [x]","Core 2 Ratio [x]","Core 3 Ratio [x]","Uncore Ratio [x]","Core 0 [°C]","Core 1 [°C]","Core 2 [°C]","Core 3 [°C]","Core 0 Distance to TjMAX [°C]","Core 1 Distance to TjMAX [°C]","Core 2 Distance to TjMAX [°C]","Core 3 Distance to TjMAX [°C]","CPU Package [°C]","Core Max [°C]","Core 0 Thermal Throttling [Yes/No]","Core 1 Thermal Throttling [Yes/No]","Core 2 Thermal Throttling [Yes/No]","Core 3 Thermal Throttling [Yes/No]","Core 0 Critical Temperature [Yes/No]","Core 1 Critical Temperature [Yes/No]","Core 2 Critical Temperature [Yes/No]","Core 3 Critical Temperature [Yes/No]","Core 0 Power Limit Exceeded [Yes/No]","Core 1 Power Limit Exceeded [Yes/No]","Core 2 Power Limit Exceeded [Yes/No]","Core 3 Power Limit Exceeded [Yes/No]","Package/Ring Thermal Throttling [Yes/No]","Package/Ring Critical Temperature [Yes/No]","Package/Ring Power Limit Exceeded [Yes/No]","CPU Package [°C]","CPU IA Cores [°C]","CPU GT Cores (Graphics) [°C]","IA Voltage Offset [V]","GT Voltage Offset [V]","CLR (CBo/LLC/Ring) Voltage Offset [V]","Uncore/SA Voltage Offset [V]","Analog IO Voltage Offset [V]","Digital IO Voltage Offset [V]","CPU Package Power [W]","IA Cores Power [W]","Total DRAM Power [W]","GT OC Ratio Limit [x]","Core 0 T0 C0 Residency [%]","Core 1 T0 C0 Residency [%]","Core 2 T0 C0 Residency [%]","Core 3 T0 C0 Residency [%]","Core 0 C3 Residency [%]","Core 1 C3 Residency [%]","Core 2 C3 Residency [%]","Core 3 C3 Residency [%]","Core 0 C7 Residency [%]","Core 1 C7 Residency [%]","Core 2 C7 Residency [%]","Core 3 C7 Residency [%]","Memory Clock [MHz]","Memory Clock Ratio [x]","Tcas [T]","Trcd [T]","Trp [T]","Tras [T]","Trfc [T]","Command Rate [T]","IA: PROCHOT [Yes/No]","IA: Thermal Event [Yes/No]","IA: Graphics Driver [Yes/No]","IA: Autonomous Utilization-Based Frequency Control [Yes/No]","IA: VR Thermal Alert [Yes/No]","IA: Electrical Design Point/Other (ICCmax,PL4,SVID,DDR RAPL) [Yes/No]","IA: Domain-Level PBM PL1 [Yes/No]","IA: Package-Level RAPL/PBM PL1 [Yes/No]","IA: Package-Level RAPL/PBM PL2,PL3 [Yes/No]","IA: Max Turbo Limit [Yes/No]","IA: Turbo Attenuation (MCT) [Yes/No]","GT: Thermal Event [Yes/No]","GT: Graphics Driver [Yes/No]","GT: VR Thermal Alert [Yes/No]","GT: Max VR Voltage, ICCmax, PL4 [Yes/No]","GT: Domain-Level PBM PLGT [Yes/No]","GT: Package-Level RAPL/PBM PL1 [Yes/No]","GT: Package-Level RAPL/PBM PL2,PL3 [Yes/No]","RING: Running Average Thermal Limit [Yes/No]","RING: VR Thermal Alert [Yes/No]","RING: VR TDC [Yes/No]","RING: Max VR Voltage, ICCmax, PL4 [Yes/No]","RING: Domain-Level PBM PL1 [Yes/No]","RING: Package-Level RAPL/PBM PL1 [Yes/No]","RING: Package-Level RAPL/PBM PL2,PL3 [Yes/No]","Motherboard [°C]","Auxiliary [°C]","AUXTIN1 [°C]","CPU (PECI) [°C]","VCCIN [V]","+5V [V]","+3.3V (AVCC) [V]","+3.3V (3VCC) [V]","+12V [V]","CPU SA [V]","VIN4 [V]","3VSB [V]","VBAT [V]","VTT [V]","Vcore [V]","CPU I/O [V]","DIMM [V]","VRING [V]","CPU 1 [RPM]","Chassis1 [RPM]","Chassis3 [RPM]","Chassis Intrusion [Yes/No]","Drive Temperature [°C]","Drive Failure [Yes/No]","Drive Warning [Yes/No]","Drive Temperature [°C]","Drive Failure [Yes/No]","Drive Warning [Yes/No]","Total Host Writes [GB]","Total Host Reads [GB]","Read Activity [%]","Write Activity [%]","Total Activity [%]","Read Rate [MB/s]","Write Rate [MB/s]","Read Total [MB]","Write Total [MB]","Read Activity [%]","Write Activity [%]","Total Activity [%]","Read Rate [MB/s]","Write Rate [MB/s]","Read Total [MB]","Write Total [MB]","Read Activity [%]","Write Activity [%]","Total Activity [%]","Read Rate [MB/s]","Write Rate [MB/s]","Read Total [MB]","GPU Temperature [°C]","GPU Core Voltage [V]","GPU PCIe +12V Input Voltage [V]","GPU 8-pin #1 Input Voltage [V]","GPU Fan [RPM]","GPU Power [W]","GPU PCIe +12V Input Power [W]","GPU 8-pin #1 Input Power [W]","GPU FBVDD_Q Input Power (sum) [W]","GPU Core (NVVDD) Input Power (sum) [W]","GPU Core (NVVDD) Output Power (sum) [W]","GPU Clock [MHz]","GPU Memory Clock [MHz]","GPU Video Clock [MHz]","GPU Effective Clock [MHz]","GPU Core Load [%]","GPU Memory Controller Load [%]","GPU Video Engine Load [%]","GPU Bus Load [%]","GPU Memory Usage [%]","GPU D3D Usage [%]","GPU Video Decode 0 Usage [%]","GPU Video Encode 0 Usage [%]","GPU Computing (Compute_0) Usage [%]","GPU Computing (Compute_1) Usage [%]","GPU VR Usage [%]","GPU Fan [%]","Performance Limit - Power [Yes/No]","Performance Limit - Thermal [Yes/No]","Performance Limit - Reliability Voltage [Yes/No]","Performance Limit - Max Operating Voltage [Yes/No]","Performance Limit - Utilization [Yes/No]","Performance Limit - SLI GPUBoost Sync [Yes/No]","Total GPU Power (normalized) [% of TDP] [%]","Total GPU Power [% of TDP] [%]","GPU Memory Allocated [MB]","GPU D3D Memory Dedicated [MB]","GPU D3D Memory Dynamic [MB]","PCIe Link Speed [GT/s]","Total DL [MB]","Total UP [MB]","Current DL rate [KB/s]","Current UP rate [KB/s]","Total DL [MB]","Total UP [MB]","Current DL rate [KB/s]","Current UP rate [KB/s]","Total Errors []","Framerate [FPS]","Framerate 1% Low [FPS]","Framerate 0.1% Low [FPS]",
15.2.2021,18:31:4.554,8562,4189,67.1,6498,1644,79.8,1.1,1.025,1.047,1.047,1.070,3686.0,3785.6,3785.6,3885.2,99.6,3686.0,99.6,458.3,1141.1,399.2,439.2,609.4,12.2,5.5,7.9,11.0,12.2,9.2,100.0,37.0,38.0,38.0,39.0,37.0,34,34,33,31,66,66,67,69,37,34,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,37,36,37,0.000,0.000,0.000,0.000,0.000,0.000,15.548,7.681,1.808,25.0,12.0,29.6,10.5,11.5,5.4,2.7,2.0,3.8,71.3,51.2,79.1,74.7,797.0,8.00,11,11,11,28,128,1,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,34.0,21.0,67.0,37.0,1.744,5.120,3.360,3.360,12.192,0.824,0.992,3.424,2.960,1.008,1.025,1.008,1.488,1.864,707,916,911,No,31,No,No,33,No,No,821,2592,26.5,0.7,27.1,0.720,0.596,8263,2679,0.0,0.0,0.0,0.000,0.001,237,3,0.0,0.0,0.0,0.000,0.000,1,57,1.037,12.088,12.128,0,37.631,21.650,14.311,10.843,19.077,16.216,1189.7,1752.8,975.7,1189.7,13.0,10.0,0.0,0.0,37.9,11.4,0.0,0.0,2.5,0.0,0.0,0,No,No,No,No,Yes,No,32.7,28.1,777,750,58,8.0,73,9,0.023,0.016,0,0,0.000,0.000,0,28,26,25,
15.2.2021,18:31:7.343,8445,4306,66.2,6363,1780,78.1,1.1,1.025,1.022,1.022,1.025,3686.0,3686.0,3686.0,3686.0,99.6,3686.0,99.6,1276.5,1973.8,1480.1,1368.3,1524.7,35.9,40.2,35.3,29.8,40.2,35.3,100.0,37.0,37.0,37.0,37.0,37.0,44,45,43,41,56,55,57,59,44,45,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,45,45,38,0.000,0.000,0.000,0.000,0.000,0.000,25.323,16.452,2.178,25.0,34.3,52.4,39.7,36.8,5.9,2.1,4.1,3.7,38.7,20.8,37.1,48.8,797.0,8.00,11,11,11,28,128,1,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,34.0,20.0,24.0,42.0,1.728,5.120,3.360,3.360,12.192,0.824,1.104,3.424,2.960,1.016,1.032,1.016,1.488,1.864,707,910,913,No,31,No,No,33,No,No,821,2592,3.3,0.2,3.5,0.111,0.353,8263,2680,24.0,0.0,24.0,0.224,0.000,237,3,0.0,0.0,0.0,0.000,0.000,1,57,1.037,12.096,12.136,0,35.933,21.180,13.083,10.778,17.439,14.825,1189.7,1752.8,975.7,1189.7,10.0,7.0,0.0,0.0,35.2,11.1,0.0,0.0,3.1,0.0,0.0,0,No,No,No,No,Yes,No,31.5,27.6,721,695,32,8.0,73,9,0.131,1.095,0,0,0.000,0.000,0,28,26,25,
15.2.2021,18:31:9.891,8539,4212,66.9,6453,1689,79.2,1.1,1.020,1.022,1.022,1.025,3686.0,3686.0,3686.0,3686.0,99.6,3686.0,99.6,3371.0,3344.6,3360.3,3332.1,3352.0,91.6,91.0,92.1,91.6,92.1,91.6,100.0,37.0,37.0,37.0,37.0,37.0,47,44,45,42,53,56,55,58,47,47,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,47,47,39,0.000,0.000,0.000,0.000,0.000,0.000,46.231,37.450,2.436,25.0,91.1,90.4,90.8,90.0,0.0,0.1,0.0,0.0,5.3,5.3,4.1,5.9,797.0,8.00,11,11,11,28,128,1,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,35.0,20.0,24.0,46.0,1.728,5.120,3.360,3.360,12.192,0.824,1.104,3.424,2.960,1.016,1.032,1.016,1.488,1.864,707,907,912,No,31,No,No,33,No,No,821,2592,3.4,1.4,4.7,0.034,0.299,8263,2680,14.1,0.0,14.1,0.702,0.004,239,4,0.0,0.0,0.0,0.000,0.000,1,57,1.037,12.080,12.120,0,37.606,21.442,14.496,10.575,19.331,16.433,1189.7,1752.8,975.7,1189.7,17.0,11.0,0.0,1.0,36.2,11.8,0.0,0.0,1.5,0.0,0.0,0,No,No,No,No,Yes,No,30.6,28.9,741,714,55,8.0,73,9,0.170,0.102,0,0,0.000,0.000,0,0,0,0,
15.2.2021,18:31:12.522,8410,4341,65.9,6387,1756,78.4,1.1,1.025,1.022,1.027,1.025,3686.0,3686.0,3686.0,3686.0,99.6,3686.0,99.6,3396.6,3422.8,3370.2,3425.0,3403.7,93.2,93.2,91.3,91.9,93.2,92.4,100.0,37.0,37.0,37.0,37.0,37.0,43,41,41,38,57,59,59,62,43,43,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,44,44,39,0.000,0.000,0.000,0.000,0.000,0.000,47.000,38.173,2.553,25.0,91.7,92.4,91.0,92.5,0.0,0.4,0.1,0.2,4.8,4.6,4.3,3.9,797.0,8.00,11,11,11,28,128,1,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,35.0,20.0,24.0,43.0,1.728,5.120,3.360,3.360,12.192,0.824,1.112,3.424,2.960,1.008,1.025,1.008,1.488,1.864,710,910,929,No,31,No,No,33,No,No,821,2592,6.2,0.0,6.2,0.122,0.018,8263,2680,20.1,0.0,20.1,0.103,0.000,239,4,0.0,0.0,0.0,0.000,0.000,1,57,1.000,12.112,12.144,0,30.598,19.004,9.922,9.646,13.225,11.243,961.9,1502.3,788.7,961.9,10.0,7.0,0.0,0.0,43.7,13.9,0.0,0.0,0.0,0.0,0.0,0,No,No,No,No,Yes,No,28.1,23.5,895,868,48,8.0,73,9,9.924,1.673,0,0,0.000,0.000,0,27,0,0,
15.2.2021,18:31:15.384,8612,4139,67.5,6536,1607,80.2,1.1,1.025,1.027,1.047,1.045,3686.0,3686.0,3785.6,3785.6,99.6,3686.0,99.6,1307.9,1451.9,1859.8,1706.8,1581.6,35.8,35.2,52.3,42.3,52.3,41.4,100.0,37.0,37.0,38.0,38.0,37.0,40,39,40,37,60,61,60,63,41,40,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,42,42,40,0.000,0.000,0.000,0.000,0.000,0.000,27.270,18.495,2.289,25.0,35.1,38.9,49.8,45.6,1.2,1.6,0.0,0.2,38.8,38.1,35.4,28.9,797.0,8.00,11,11,11,28,128,1,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,35.0,20.0,24.0,41.0,1.728,5.120,3.360,3.344,12.192,0.824,1.120,3.424,2.960,1.008,0.920,1.008,1.488,1.864,706,909,928,No,31,No,No,33,No,No,821,2592,3.1,0.2,3.3,0.066,0.172,8264,2681,95.2,38.7,100.0,33.832,0.030,331,4,0.0,0.0,0.0,0.000,0.000,1,63,1.187,12.008,12.048,0,93.288,39.098,52.529,15.605,70.035,59.536,1342.0,1752.8,1080.0,1342.0,97.0,77.0,0.0,2.0,45.5,80.1,0.0,0.0,0.0,0.0,0.0,0,No,No,Yes,No,No,No,71.9,71.8,931,905,54,8.0,73,9,19.854,9.813,0,0,0.000,0.000,0,174,0,0,
15.2.2021,18:31:17.934,8601,4150,67.4,6548,1595,80.4,1.1,1.025,1.047,1.047,1.025,3686.0,3785.6,3785.6,3686.0,99.6,3686.0,99.6,1321.8,1317.0,3016.1,2067.5,1930.6,29.1,28.0,81.8,60.9,81.8,50.0,100.0,37.0,38.0,38.0,37.0,37.0,39,38,43,37,61,62,57,63,44,43,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,42,42,38,0.000,0.000,0.000,0.000,0.000,0.000,32.182,23.038,2.454,25.0,35.4,35.2,79.4,54.7,1.4,0.2,0.0,0.0,52.8,51.8,0.0,0.0,797.0,8.00,11,11,11,28,128,1,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,34.0,18.0,60.0,42.0,1.728,5.120,3.360,3.344,12.192,0.816,1.136,3.424,2.960,1.016,0.840,1.016,1.488,1.864,702,909,923,No,31,No,No,33,No,No,821,2592,2.4,0.2,2.5,0.023,0.363,8264,2682,10.9,20.6,31.5,3.789,0.115,341,4,0.0,0.0,0.0,0.000,0.000,1,65,1.187,12.000,12.048,566,94.965,40.500,52.806,16.920,70.409,59.854,1342.0,1752.8,1080.0,1342.0,97.0,77.0,0.0,1.0,45.6,99.0,0.0,0.0,0.0,0.0,0.0,33,No,No,Yes,No,No,No,73.0,73.0,933,907,53,8.0,73,9,0.388,0.042,0,0,0.000,0.000,0,167,0,0,
15.2.2021,18:31:20.550,8597,4154,67.4,6548,1595,80.4,1.1,1.025,1.047,1.071,1.045,3686.0,3785.6,3885.2,3785.6,99.6,3686.0,99.6,1345.0,1404.7,3066.7,2130.3,1986.7,33.1,36.1,76.6,52.7,76.6,49.6,100.0,37.0,38.0,39.0,38.0,37.0,40,38,43,37,60,62,57,63,44,43,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,43,43,39,0.000,0.000,0.000,0.000,0.000,0.000,33.002,23.780,2.427,25.0,36.1,37.7,80.9,56.5,0.0,0.0,0.0,0.0,49.1,46.6,0.0,0.0,797.0,8.00,11,11,11,28,128,1,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,34.0,19.0,61.0,42.0,1.728,5.120,3.360,3.344,12.192,0.816,1.144,3.424,2.960,1.008,1.025,1.008,1.488,1.864,703,909,924,No,31,No,No,33,No,No,821,2592,0.0,0.1,0.1,0.028,0.187,8264,2682,1.6,0.0,1.6,0.025,0.012,341,4,0.0,0.0,0.0,0.000,0.000,1,66,1.187,12.000,12.048,690,93.927,39.360,52.903,15.750,70.529,59.956,1342.0,1752.8,1080.0,1342.0,97.0,78.0,0.0,1.0,45.6,98.6,0.0,0.0,0.0,0.0,0.0,36,No,No,Yes,No,No,No,71.8,72.3,933,907,53,8.0,73,9,0.187,0.097,0,0,0.000,0.000,0,167,95,93,
15.2.2021,18:31:23.091,8586,4164,67.3,6545,1598,80.3,1.1,1.025,1.047,1.047,1.045,3686.0,3785.6,3785.6,3785.6,99.6,3686.0,99.6,1365.6,1402.7,3142.6,2120.4,2007.8,41.6,30.9,79.7,61.3,79.7,53.4,100.0,37.0,38.0,38.0,38.0,37.0,39,37,45,38,61,63,55,62,45,45,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,43,43,38,0.000,0.000,0.000,0.000,0.000,0.000,33.012,23.874,2.428,25.0,36.6,37.6,82.8,56.2,0.2,0.0,0.0,0.0,51.9,49.0,0.0,0.0,797.0,8.00,11,11,11,28,128,1,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,35.0,19.0,56.0,43.0,1.728,5.120,3.360,3.344,12.096,0.824,1.136,3.424,2.960,1.016,0.552,1.016,1.488,1.864,703,918,914,No,31,No,No,33,No,No,821,2592,2.5,0.1,2.6,0.025,0.035,8264,2682,0.0,0.0,0.0,0.000,0.000,341,4,0.0,0.0,0.0,0.000,0.000,1,66,1.187,12.000,12.048,766,94.696,39.648,53.385,15.875,71.180,60.510,1342.0,1752.8,1080.0,1342.0,97.0,76.0,0.0,1.0,45.3,98.7,0.0,0.0,0.0,0.0,0.0,38,No,No,Yes,No,No,No,72.5,72.8,928,902,46,8.0,73,9,0.069,0.016,0,0,0.000,0.000,0,160,96,93,
15.2.2021,18:31:25.807,8499,4252,66.6,6466,1677,79.4,1.1,1.025,1.027,1.047,1.045,3686.0,3686.0,3785.6,3785.6,99.6,3686.0,99.6,1499.8,1642.0,3046.3,2223.0,2102.8,40.7,35.8,79.6,58.6,79.6,53.7,100.0,37.0,37.0,38.0,38.0,37.0,39,39,43,38,61,61,57,62,42,43,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,43,43,39,0.000,0.000,0.000,0.000,0.000,0.000,33.929,24.690,2.470,25.0,40.3,44.1,80.7,59.2,0.3,0.8,0.0,0.0,42.5,34.7,0.0,0.0,797.0,8.00,11,11,11,28,128,1,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,35.0,19.0,55.0,42.0,1.728,5.120,3.360,3.344,12.192,0.824,1.104,3.424,2.960,1.008,0.784,1.008,1.488,1.864,708,924,927,No,31,No,No,33,No,No,821,2592,52.3,16.4,68.7,1.241,0.346,8267,2683,1.0,0.0,1.0,0.058,0.001,341,4,0.0,0.0,0.0,0.000,0.000,1,67,1.187,12.000,12.048,864,95.069,39.552,53.855,15.624,71.806,61.042,1342.0,1752.8,1080.0,1342.0,97.0,77.0,0.0,1.0,45.3,99.4,0.0,0.0,0.0,0.0,0.0,40,No,No,Yes,No,No,No,73.3,73.1,927,901,54,8.0,73,9,1.580,0.238,0,0,0.000,0.000,0,161,96,90,
15.2.2021,18:31:28.581,8483,4268,66.5,6451,1692,79.2,1.1,1.025,1.022,1.022,1.025,3686.0,3686.0,3686.0,3686.0,99.6,3686.0,99.6,1842.9,1888.0,3133.7,2402.9,2316.9,52.0,49.1,85.1,68.5,85.1,63.7,100.0,37.0,37.0,37.0,37.0,37.0,44,43,44,40,56,57,56,60,44,44,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,43,43,40,0.000,0.000,0.000,0.000,0.000,0.000,35.809,26.558,2.501,25.0,49.6,50.8,83.6,64.3,0.3,0.5,0.0,0.0,29.1,26.2,0.0,0.0,797.0,8.00,11,11,11,28,128,1,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,35.0,20.0,25.0,43.0,1.728,5.120,3.360,3.344,12.096,0.824,1.112,3.424,2.960,1.008,0.952,1.008,1.488,1.864,708,911,924,No,31,No,No,33,No,No,821,2592,1.7,0.1,1.7,0.020,0.052,8267,2683,39.4,6.8,46.2,0.550,0.026,342,4,0.0,0.0,0.0,0.000,0.000,1,67,1.187,12.008,12.048,920,93.854,39.578,52.614,16.057,70.143,59.626,1342.0,1752.8,1080.0,1342.0,98.0,77.0,0.0,1.0,45.3,98.5,0.0,0.0,0.0,0.0,0.0,41,No,No,Yes,No,No,No,72.4,72.2,927,901,54,8.0,73,9,0.044,0.019,0,0,0.000,0.000,0,161,96,79,
