Benchmark 1,Benchmark 2,Benchmark 3
27,28,
27,28,
27,0,
27,27,
27,174,
27,167,
27,167,
27,160,
27,161,
27,161,
27,160,
27,119,
62,80,
62,136,
62,124,
62,122,
60,41,
61,41,
62,4,
62,156,
62,158,
62,144,
62,148,
33,148,
33,149,
2,145,
62,146,4
62,146,31
61,147,30
62,131,29
62,150,29
62,93,27
27,156,26
62,154,97
22,147,156
27,149,167
27,156,161
27,154,161
26,155,16
60,157,69
57,150,75
60,152,92
61,133,93
62,136,103
62,139,124
60,140,126
62,140,117
62,144,117
62,147,117
62,147,117
62,133,117
62,126,117
62,123,117
62,122,117
62,122,117
62,120,117
62,124,117
61,132,1
62,132,1
62,141,8
62,129,121
62,126,145
62,121,147
62,117,148
62,143,149
61,124,148
62,120,141
62,119,153
62,122,30
59,116,27
62,111,30
62,114,110
37,109,118
98,109,145
112,108,138
111,109,121
111,129,118
111,120,129
109,132,129
114,141,124
98,151,122
91,134,162
91,122,117
91,125,121
91,121,118
92,70,120
100,149,122
91,146,120
95,145,121
90,138,87
94,146,115
93,146,154
92,81,94
86,152,88
93,155,89
90,152,92
90,147,96
92,155,92
95,157,105
94,157,51
96,157,51
89,152,65
88,154,67
88,148,67
92,142,67
91,142,61
98,145,78
95,145,94
96,137,109
97,142,130
96,141,125
96,140,111
102,130,115
101,137,117
102,136,117
110,127,113
106,114,120
107,129,120
105,137,120
97,142,120
97,142,120
112,136,116
108,124,120
99,129,125
99,132,125
100,125,115
101,124,112
103,129,108
112,125,111
88,128,108
101,120,109
100,112,106
101,115,117
107,115,113
104,122,127
101,112,131
82,113,144
90,135,124
83,131,126
81,137,116
81,149,134
90,161,128
92,127,149
91,136,130
92,130,122
97,138,127
98,152,120
84,136,137
93,129,159
102,137,149
96,144,151
98,128,154
101,127,152
93,127,140
78,127,126
98,128,116
101,127,114
102,127,149
95,127,110
60,118,136
88,119,141
124,118,80
100,117,70
93,119,100
113,147,102
106,134,123
104,119,128
107,110,133
92,116,133
87,108,133
81,145,133
84,126,133
96,136,133
71,127,133
67,123,129
65,126,127
88,146,133
96,144,136
90,100,137
79,90,127
103,151,128
65,108,122
107,55,126
84,60,127
105,112,140
84,117,143
107,119,135
102,115,121
106,116,143
112,116,132
109,115,114
108,120,113
105,118,114
113,128,115
111,121,121
104,121,120
111,127,120
97,132,114
84,130,51
84,113,74
90,121,112
93,131,108
78,133,139
93,140,123
87,116,112
85,113,118
102,110,119
97,112,116
100,116,111
97,120,111
115,113,110
91,116,123
103,130,123
102,122,112
103,128,110
90,114,123
101,111,111
105,110,111
93,115,114
103,117,113
96,129,109
94,131,113
89,131,118
90,129,125
97,137,120
121,118,130
117,115,117
101,126,125
118,121,136
127,111,118
101,112,112
92,112,114
85,112,121
94,109,117
104,112,121
103,127,143
101,116,115
116,118,111
123,116,121
100,119,118
104,130,115
105,116,128
92,127,117
96,112,109
95,113,107
86,110,107
96,117,118
77,116,130
82,121,131
75,122,110
84,110,119
77,110,118
81,110,125
87,123,136
87,114,146
89,116,121
86,115,144
97,116,132
93,112,120
85,124,125
93,110,118
90,133,117
109,128,118
99,136,165
93,108,152
85,106,140
53,115,143
113,127,118
102,125,122
69,121,123
77,120,119
87,136,109
