Date,Time,"Virtual Memory Commited [MB]","Virtual Memory Available [MB]","Virtual Memory Load [%]","Physical Memory Used [MB]","Physical Memory Available [MB]","Physical Memory Load [%]","Page File Usage [%]","Core 0 VID [V]","Core 1 VID [V]","Core 2 VID [V]","Core 3 VID [V]","Core 0 Clock [MHz]","Core 1 Clock [MHz]","Core 2 Clock [MHz]","Core 3 Clock [MHz]","Bus Clock [MHz]","Uncore Clock [MHz]","PCIe Clock [MHz]","Core 0 Effective Clock [MHz]","Core 1 Effective Clock [MHz]","Core 2 Effective Clock [MHz]","Core 3 Effective Clock [MHz]","Average Effective Clock [MHz]","Core 0 Usage [%]","Core 1 Usage [%]","Core 2 Usage [%]","Core 3 Usage [%]","Max CPU/Thread Usage [%]","Total CPU Usage [%]","On-Demand Clock Modulation [%]","Core 0 Ratio [x]","Core 1 Ratio [x]","Core 2 Ratio [x]","Core 3 Ratio [x]","Uncore Ratio [x]","Core 0 [°C]","Core 1 [°C]","Core 2 [°C]","Core 3 [°C]","Core 0 Distance to TjMAX [°C]","Core 1 Distance to TjMAX [°C]","Core 2 Distance to TjMAX [°C]","Core 3 Distance to TjMAX [°C]","CPU Package [°C]","Core Max [°C]","Core 0 Thermal Throttling [Yes/No]","Core 1 Thermal Throttling [Yes/No]","Core 2 Thermal Throttling [Yes/No]","Core 3 Thermal Throttling [Yes/No]","Core 0 Critical Temperature [Yes/No]","Core 1 Critical Temperature [Yes/No]","Core 2 Critical Temperature [Yes/No]","Core 3 Critical Temperature [Yes/No]","Core 0 Power Limit Exceeded [Yes/No]","Core 1 Power Limit Exceeded [Yes/No]","Core 2 Power Limit Exceeded [Yes/No]","Core 3 Power Limit Exceeded [Yes/No]","Package/Ring Thermal Throttling [Yes/No]","Package/Ring Critical Temperature [Yes/No]","Package/Ring Power Limit Exceeded [Yes/No]","CPU Package [°C]","CPU IA Cores [°C]","CPU GT Cores (Graphics) [°C]","IA Voltage Offset [V]","GT Voltage Offset [V]","CLR (CBo/LLC/Ring) Voltage Offset [V]","Uncore/SA Voltage Offset [V]","Analog IO Voltage Offset [V]","Digital IO Voltage Offset [V]","CPU Package Power [W]","IA Cores Power [W]","Total DRAM Power [W]","GT OC Ratio Limit [x]","Core 0 T0 C0 Residency [%]","Core 1 T0 C0 Residency [%]","Core 2 T0 C0 Residency [%]","Core 3 T0 C0 Residency [%]","Core 0 C3 Residency [%]","Core 1 C3 Residency [%]","Core 2 C3 Residency [%]","Core 3 C3 Residency [%]","Core 0 C7 Residency [%]","Core 1 C7 Residency [%]","Core 2 C7 Residency [%]","Core 3 C7 Residency [%]","Memory Clock [MHz]","Memory Clock Ratio [x]","Tcas [T]","Trcd [T]","Trp [T]","Tras [T]","Trfc [T]","Command Rate [T]","IA: PROCHOT [Yes/No]","IA: Thermal Event [Yes/No]","IA: Graphics Driver [Yes/No]","IA: Autonomous Utilization-Based Frequency Control [Yes/No]","IA: VR Thermal Alert [Yes/No]","IA: Electrical Design Point/Other (ICCmax,PL4,SVID,DDR RAPL) [Yes/No]","IA: Domain-Level PBM PL1 [Yes/No]","IA: Package-Level RAPL/PBM PL1 [Yes/No]","IA: Package-Level RAPL/PBM PL2,PL3 [Yes/No]","IA: Max Turbo Limit [Yes/No]","IA: Turbo Attenuation (MCT) [Yes/No]","GT: Thermal Event [Yes/No]","GT: Graphics Driver [Yes/No]","GT: VR Thermal Alert [Yes/No]","GT: Max VR Voltage, ICCmax, PL4 [Yes/No]","GT: Domain-Level PBM PLGT [Yes/No]","GT: Package-Level RAPL/PBM PL1 [Yes/No]","GT: Package-Level RAPL/PBM PL2,PL3 [Yes/No]","RING: Running Average Thermal Limit [Yes/No]","RING: VR Thermal Alert [Yes/No]","RING: VR TDC [Yes/No]","RING: Max VR Voltage, ICCmax, PL4 [Yes/No]","RING: Domain-Level PBM PL1 [Yes/No]","RING: Package-Level RAPL/PBM PL1 [Yes/No]","RING: Package-Level RAPL/PBM PL2,PL3 [Yes/No]","Motherboard [°C]","Auxiliary [°C]","AUXTIN1 [°C]","CPU (PECI) [°C]","VCCIN [V]","+5V [V]","+3.3V (AVCC) [V]","+3.3V (3VCC) [V]","+12V [V]","CPU SA [V]","VIN4 [V]","3VSB [V]","VBAT [V]","VTT [V]","Vcore [V]","CPU I/O [V]","DIMM [V]","VRING [V]","CPU 1 [RPM]","Chassis1 [RPM]","Chassis3 [RPM]","Chassis Intrusion [Yes/No]","Drive Temperature [°C]","Drive Failure [Yes/No]","Drive Warning [Yes/No]","Drive Temperature [°C]","Drive Failure [Yes/No]","Drive Warning [Yes/No]","Total Host Writes [GB]","Total Host Reads [GB]","Read Activity [%]","Write Activity [%]","Total Activity [%]","Read Rate [MB/s]","Write Rate [MB/s]","Read Total [MB]","Write Total [MB]","Read Activity [%]","Write Activity [%]","Total Activity [%]","Read Rate [MB/s]","Write Rate [MB/s]","Read Total [MB]","Write Total [MB]","GPU Temperature [°C]","GPU Core Voltage [V]","GPU PCIe +12V Input Voltage [V]","GPU 8-pin #1 Input Voltage [V]","GPU Fan [RPM]","GPU Power [W]","GPU PCIe +12V Input Power [W]","GPU 8-pin #1 Input Power [W]","GPU FBVDD_Q Input Power (sum) [W]","GPU Core (NVVDD) Input Power (sum) [W]","GPU Core (NVVDD) Output Power (sum) [W]","GPU Clock [MHz]","GPU Memory Clock [MHz]","GPU Video Clock [MHz]","GPU Effective Clock [MHz]","GPU Core Load [%]","GPU Memory Controller Load [%]","GPU Video Engine Load [%]","GPU Bus Load [%]","GPU Memory Usage [%]","GPU D3D Usage [%]","GPU Video Decode 0 Usage [%]","GPU Video Encode 0 Usage [%]","GPU Computing (Compute_0) Usage [%]","GPU Computing (Compute_1) Usage [%]","GPU VR Usage [%]","GPU Fan [%]","Performance Limit - Power [Yes/No]","Performance Limit - Thermal [Yes/No]","Performance Limit - Reliability Voltage [Yes/No]","Performance Limit - Max Operating Voltage [Yes/No]","Performance Limit - Utilization [Yes/No]","Performance Limit - SLI GPUBoost Sync [Yes/No]","Total GPU Power (normalized) [% of TDP] [%]","Total GPU Power [% of TDP] [%]","GPU Memory Allocated [MB]","GPU D3D Memory Dedicated [MB]","GPU D3D Memory Dynamic [MB]","PCIe Link Speed [GT/s]","Framerate [FPS]","Total DL [MB]","Total UP [MB]","Current DL rate [KB/s]","Current UP rate [KB/s]","Total DL [MB]","Total UP [MB]","Current DL rate [KB/s]","Current UP rate [KB/s]","Total Errors []","Framerate 1% Low [FPS]","Framerate 0.1% Low [FPS]",
15.2.2021,19:49:58.811,7888,6198,55.9,4019,4124,49.3,10.0,0.736,0.738,0.737,0.740,996.2,996.2,996.2,996.2,99.6,996.2,99.6,505.2,459.4,437.7,490.4,473.2,56.0,48.1,45.7,56.6,56.6,51.6,100.0,10.0,10.0,10.0,10.0,10.0,33,33,31,29,67,67,69,71,36,33,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,36,33,36,0.000,0.000,0.000,0.000,0.000,0.000,8.272,2.122,1.709,25.0,59.2,53.5,50.8,57.3,2.2,1.1,0.9,0.6,27.5,36.1,39.3,35.4,797.0,8.00,11,11,11,28,128,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,36.0,41.0,41.0,35.0,1.744,5.120,3.360,3.360,12.192,0.824,0.728,3.424,2.944,1.008,0.736,1.008,1.488,1.872,712,920,911,No,30,No,No,32,No,No,821,2597,1.2,11.2,12.4,0.093,0.628,15174,5213,0.0,0.0,0.0,0.000,0.000,5986,24,55,1.000,12.112,12.144,0,29.444,18.907,8.865,9.901,11.816,10.045,961.9,1502.3,788.7,961.9,5.0,4.0,0.0,0.0,30.6,14.4,0.0,0.0,3.7,0.0,0.0,0,No,No,No,No,Yes,No,28.8,22.6,626,601,38,8.0,0,225,19,2.221,3.668,0,0,0.000,0.000,0,0,0,
15.2.2021,19:50:1.359,7904,6182,56.1,4015,4128,49.3,10.0,0.716,0.718,0.717,0.720,797.0,797.0,797.0,797.0,99.6,797.0,99.6,678.5,738.5,734.5,727.1,719.7,62.2,66.6,67.2,67.2,67.2,65.8,100.0,8.0,8.0,8.0,8.0,8.0,33,33,32,29,67,67,68,71,35,33,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,35,34,35,0.000,0.000,0.000,0.000,0.000,0.000,10.003,3.399,1.975,25.0,64.3,70.8,69.5,69.3,1.2,1.0,1.2,0.4,24.1,18.7,20.4,22.3,797.0,8.00,11,11,11,28,128,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,36.0,42.0,45.0,35.0,1.744,5.120,3.376,3.360,12.192,0.824,0.712,3.424,2.944,1.008,0.512,1.008,1.488,1.864,712,927,924,No,30,No,No,32,No,No,821,2597,1.2,0.2,1.4,0.008,0.618,15174,5214,0.0,0.0,0.0,0.000,0.000,5986,24,55,1.000,12.104,12.144,0,33.267,20.238,11.355,10.405,15.144,12.874,961.9,1502.3,788.7,961.9,20.0,15.0,0.0,0.0,30.6,16.5,0.0,0.0,5.0,0.0,0.0,0,No,No,No,No,Yes,No,29.4,25.6,628,602,39,8.0,0,225,19,0.022,0.016,0,0,0.000,0.000,0,0,0,
15.2.2021,19:50:3.895,7879,6207,55.9,4012,4130,49.2,10.0,0.736,0.738,0.737,0.740,996.2,996.2,996.2,996.2,99.6,996.2,99.6,512.5,420.0,398.5,522.3,463.3,58.3,46.4,44.6,61.3,61.3,52.6,100.0,10.0,10.0,10.0,10.0,10.0,33,32,31,29,67,68,69,71,36,33,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,36,33,36,0.000,0.000,0.000,0.000,0.000,0.000,8.120,1.980,1.775,25.0,60.9,50.8,48.5,62.9,0.1,0.4,0.1,0.0,31.7,42.7,45.9,32.8,797.0,8.00,11,11,11,28,128,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,36.0,42.0,43.0,35.0,1.744,5.120,3.360,3.360,12.192,0.824,0.712,3.424,2.960,1.008,0.624,1.008,1.488,1.872,715,919,931,No,30,No,No,32,No,No,821,2597,0.6,0.3,0.8,0.030,0.341,15174,5215,0.0,0.0,0.0,0.000,0.000,5986,24,55,1.000,12.112,12.144,0,31.932,19.670,10.590,10.087,14.123,12.006,961.9,1502.3,788.7,961.9,17.0,12.0,0.0,0.0,30.5,14.2,0.0,0.0,3.2,0.0,0.0,0,No,No,No,No,Yes,No,30.2,24.6,625,599,39,8.0,0,225,19,0.593,0.403,0,0,0.000,0.000,0,0,0,
15.2.2021,19:50:6.473,7972,6114,56.5,4013,4130,49.2,10.0,0.716,0.718,0.717,0.720,797.0,797.0,797.0,797.0,99.6,797.0,99.6,512.3,514.3,433.7,517.9,494.5,53.9,60.0,45.4,61.8,61.8,55.3,100.0,8.0,8.0,8.0,8.0,8.0,34,32,31,30,66,68,69,70,35,34,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,35,34,35,0.000,0.000,0.000,0.000,0.000,0.000,8.340,2.147,1.748,25.0,60.1,60.0,50.2,60.2,0.3,0.4,0.2,0.1,31.6,32.0,43.8,34.5,797.0,8.00,11,11,11,28,128,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,36.0,42.0,52.0,35.0,1.744,5.120,3.360,3.360,12.192,0.824,0.712,3.424,2.944,1.008,0.664,1.008,1.488,1.872,706,918,910,No,30,No,No,32,No,No,821,2597,0.0,1.9,1.9,0.000,0.214,15174,5216,0.0,0.0,0.0,0.000,0.000,5986,24,55,1.000,12.112,12.144,0,29.629,18.713,9.242,9.578,12.327,10.479,961.9,1502.3,788.7,961.9,17.0,14.0,0.0,0.0,30.5,14.5,0.0,0.0,3.1,0.0,0.0,0,No,No,No,No,Yes,No,28.1,22.8,625,599,39,8.0,0,225,19,0.186,0.181,0,0,0.000,0.000,0,0,0,
15.2.2021,19:50:9.107,7990,6096,56.7,4006,4136,49.2,10.0,0.755,0.757,0.757,0.760,1195.4,1195.4,1195.4,1195.4,99.6,1195.4,99.6,580.6,630.6,606.9,656.0,618.5,55.7,68.4,62.4,67.8,68.4,63.6,100.0,12.0,12.0,12.0,12.0,12.0,34,32,32,29,66,68,68,71,36,34,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,36,34,36,0.000,0.000,0.000,0.000,0.000,0.000,9.077,2.623,1.994,25.0,62.4,67.8,65.3,71.4,0.3,0.1,0.1,0.0,30.6,26.4,29.7,24.1,797.0,8.00,11,11,11,28,128,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,36.0,41.0,55.0,36.0,1.744,5.120,3.360,3.360,12.288,0.824,0.728,3.424,2.944,1.008,0.640,1.008,1.488,1.864,709,918,930,No,30,No,No,32,No,No,821,2597,2.2,0.9,3.1,0.020,0.312,15174,5217,0.0,0.0,0.0,0.000,0.000,5986,24,55,1.000,12.104,12.136,0,33.353,20.238,11.444,10.377,15.255,12.968,961.9,1502.3,788.7,961.9,18.0,14.0,0.0,0.0,30.8,13.9,0.0,0.0,3.3,0.0,0.0,0,No,No,No,No,Yes,No,30.7,25.7,630,605,40,8.0,0,225,19,6.415,3.166,0,0,0.000,0.000,0,0,0,
15.2.2021,19:50:11.680,8474,5612,60.1,4146,3997,50.9,10.0,0.830,0.836,0.835,0.835,1992.4,1992.4,1992.4,1992.4,99.6,1992.4,99.6,1473.5,1470.2,1494.7,1508.3,1486.7,97.6,94.1,97.0,97.6,97.6,96.6,100.0,20.0,20.0,20.0,20.0,20.0,35,34,34,32,65,66,66,68,36,35,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,36,35,36,0.000,0.000,0.000,0.000,0.000,0.000,15.840,8.219,2.376,25.0,93.9,93.5,95.4,96.4,0.0,0.0,0.0,0.0,2.9,3.0,1.6,1.4,797.0,8.00,11,11,11,28,128,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,36.0,35.0,35.0,36.0,1.744,5.120,3.360,3.360,12.192,0.824,0.816,3.424,2.960,1.008,0.816,1.008,1.488,1.872,710,919,925,No,30,No,No,32,No,No,821,2597,0.2,0.3,0.4,0.006,0.203,15174,5217,0.0,0.0,0.0,0.000,0.000,5986,24,55,1.037,12.096,12.136,0,33.339,20.418,11.250,10.625,15.000,12.751,1189.7,1752.8,975.7,1189.7,12.0,10.0,0.0,0.0,31.3,12.6,0.0,0.0,3.0,0.0,0.0,0,No,No,No,No,Yes,No,31.5,25.6,642,617,44,8.0,19,225,19,2.655,1.641,0,0,0.000,0.000,0,0,0,
15.2.2021,19:50:14.323,8575,5511,60.8,4258,3884,52.2,10.0,0.716,0.718,0.717,0.720,797.0,797.0,797.0,797.0,99.6,797.0,99.6,1339.1,1676.7,1335.2,1488.6,1459.9,57.0,76.6,55.2,66.2,76.6,63.8,100.0,8.0,8.0,8.0,8.0,8.0,34,33,32,29,66,67,68,71,35,34,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,36,34,36,0.000,0.000,0.000,0.000,0.000,0.000,17.678,9.865,2.335,25.0,62.5,77.1,61.8,71.5,0.4,0.3,0.8,2.4,30.6,15.7,32.0,19.0,797.0,8.00,11,11,11,28,128,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,36.0,42.0,94.0,36.0,1.744,5.120,3.360,3.360,12.192,0.824,0.760,3.424,2.944,1.008,0.716,1.008,1.488,1.872,704,912,914,No,30,No,No,32,No,No,821,2597,4.0,0.1,4.2,0.122,0.084,15175,5217,0.0,0.0,0.0,0.000,0.000,5986,24,55,1.000,12.112,12.144,0,31.362,19.488,10.201,10.035,13.601,11.562,961.9,1502.3,788.7,961.9,24.0,18.0,0.0,0.0,31.4,15.3,0.0,0.0,3.6,0.0,0.0,0,No,No,No,No,Yes,No,31.3,24.1,643,618,44,8.0,20,225,19,0.139,0.671,0,0,0.000,0.000,0,0,0,
15.2.2021,19:50:16.917,8605,5481,61.0,4291,3852,52.6,10.0,0.755,0.757,0.757,0.760,1195.4,1195.4,1195.4,1195.4,99.6,1195.4,99.6,586.9,737.7,575.1,675.6,643.8,57.3,78.6,65.6,69.8,78.6,67.8,100.0,12.0,12.0,12.0,12.0,12.0,34,32,30,29,66,68,70,71,37,34,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,37,33,37,0.000,0.000,0.000,0.000,0.000,0.000,9.394,2.865,2.056,25.0,59.3,73.1,59.1,69.7,0.1,0.5,0.0,0.2,35.4,20.6,36.4,24.1,797.0,8.00,11,11,11,28,128,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,36.0,40.0,84.0,36.0,1.744,5.120,3.360,3.360,12.192,0.824,0.752,3.424,2.960,1.008,0.755,1.008,1.488,1.872,712,912,915,No,30,No,No,32,No,No,821,2597,0.0,0.1,0.1,0.000,0.107,15175,5218,0.0,0.0,0.0,0.000,0.000,5986,24,55,1.000,12.112,12.144,0,29.432,18.713,9.047,9.646,12.059,10.251,961.9,1502.3,788.7,961.9,13.0,10.0,0.0,0.0,31.4,14.6,0.0,0.0,3.7,0.0,0.0,0,No,No,No,No,Yes,No,29.1,22.6,643,618,44,8.0,15,225,19,1.498,0.292,0,0,0.000,0.000,0,0,0,
15.2.2021,19:50:19.508,8606,5480,61.0,4295,3848,52.7,10.0,0.716,0.718,0.717,0.720,797.0,797.0,797.0,797.0,99.6,797.0,99.6,426.3,543.5,391.4,496.9,464.5,44.8,57.5,37.5,52.1,57.5,48.0,100.0,8.0,8.0,8.0,8.0,8.0,33,33,30,29,67,67,70,71,36,33,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,36,33,36,0.000,0.000,0.000,0.000,0.000,0.000,8.239,2.067,1.732,25.0,49.6,61.5,45.2,56.4,0.1,0.2,0.0,0.0,43.7,32.1,49.9,38.3,797.0,8.00,11,11,11,28,128,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,36.0,42.0,63.0,35.0,1.744,5.120,3.360,3.360,12.288,0.824,0.712,3.424,2.960,1.008,0.716,1.008,1.488,1.872,712,920,911,No,30,No,No,32,No,No,821,2597,0.2,0.3,0.5,0.003,0.203,15175,5218,0.0,0.0,0.0,0.000,0.000,5986,24,55,1.000,12.112,12.144,0,30.017,19.004,9.339,9.841,12.448,10.582,961.9,1502.3,788.7,961.9,21.0,16.0,0.0,0.0,31.5,15.2,0.0,0.0,3.8,0.0,0.0,0,No,No,No,No,Yes,No,29.2,23.1,644,619,44,8.0,5,225,19,0.080,0.203,0,0,0.000,0.000,0,1,1,
15.2.2021,19:50:22.122,8601,5485,61.0,4288,3855,52.6,10.0,0.716,0.723,0.717,0.720,797.0,797.0,797.0,797.0,99.6,797.0,99.6,392.8,442.9,401.9,584.2,455.5,41.5,51.8,53.6,74.0,74.0,55.2,100.0,8.0,8.0,8.0,8.0,8.0,33,33,32,30,67,67,68,70,36,33,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,36,33,36,0.000,0.000,0.000,0.000,0.000,0.000,8.080,2.000,1.572,25.0,49.1,55.4,50.2,73.0,0.5,0.2,0.1,0.4,42.9,37.0,43.3,20.5,797.0,8.00,11,11,11,28,128,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,36.0,42.0,95.0,35.0,1.744,5.120,3.360,3.360,12.192,0.824,0.712,3.424,2.944,1.008,0.716,1.008,1.488,1.872,713,919,908,No,30,No,No,32,No,No,821,2597,0.0,0.0,0.0,0.000,0.025,15175,5218,0.0,0.0,0.0,0.000,0.000,5986,24,55,1.000,12.104,12.144,0,31.640,19.475,10.492,9.931,13.990,11.893,961.9,1502.3,788.7,961.9,15.0,12.0,0.0,0.0,31.5,14.0,0.0,0.0,2.9,0.0,0.0,0,No,No,No,No,Yes,No,29.9,24.3,644,619,44,8.0,5,225,19,0.073,0.268,0,0,0.000,0.000,0,1,1,
