Benchmark 1,Beanchmark 2,Benchmark 3
2,,0
2,,0
1,,0
8,,0
60,55,0
0,56,19
60,19,20
54,19,15
60,20,5
60,20,5
60,21,5
60,21,5
60,22,0
19,15,2
17,6,30
19,6,60
16,6,60
60,6,60
60,9,52
60,2,60
60,2,42
60,0,60
19,0,58
18,0,60
20,0,60
14,0,48
60,0,60
60,0,60
59,0,57
60,0,60
60,0,49
58,0,56
60,0,58
60,0,60
60,0,59
60,0,24
60,0,20
60,0,17
60,0,20
60,0,16
60,0,18
60,0,20
60,0,19
60,0,19
60,0,0
30,0,0
60,0,0
59,0,0
60,0,0
59,0,0
60,0,52
60,0,60
60,0,51
60,0,60
46,0,53
59,0,6
60,0,28
60,0,32
60,0,32
60,0,32
60,0,5
60,0,20
60,0,56
20,0,30
57,0,51
60,0,34
60,0,34
60,0,36
60,0,25
60,0,31
60,0,31
60,0,12
60,0,25
60,0,24
60,0,28
60,0,31
60,0,29
55,0,33
60,0,35
56,0,24
60,0,30
32,0,31
60,0,38
60,0,22
60,0,43
19,0,34
60,0,32
60,0,22
60,0,29
60,0,24
60,0,33
60,0,29
47,0,35
60,0,39
60,0,27
60,0,32
60,0,20
59,0,33
60,0,23
53,0,30
60,0,30
60,0,23
55,0,25
47,0,31
60,0,35
60,0,41
60,0,31
60,0,31
60,Framerate [FPS],30
60,RTSS,32
60,,32
60,,36
60,,18
60,,25
60,,32
60,,26
60,,26
59,,26
60,,15
60,,31
60,,18
60,,18
60,,31
60,,14
60,,29
60,,30
60,,40
60,,32
60,,25
60,,21
60,,25
60,,18
60,,24
60,,27
60,,30
60,,25
60,,26
60,,18
60,,15
60,,14
60,,Performance Limit - Reliability Voltage [Yes/No]
60,,RTSS
60,,
60,,
60,,
60,,
60,,
60,,
60,,
57,,
60,,
60,,
60,,
59,,
60,,
60,,
60,,
60,,
60,,
60,,
60,,
49,,
60,,
60,,
60,,
60,,
60,,
60,,
60,,
60,,
60,,
60,,
60,,
60,,
60,,
60,,
60,,
60,,
60,,
60,,
60,,
60,,
60,,
60,,
60,,
60,,
55,,
60,,
60,,
60,,
60,,
60,,
60,,
60,,
60,,
60,,
60,,
60,,
60,,
59,,
60,,
60,,
59,,
60,,
60,,
60,,
60,,
60,,
60,,
60,,
60,,
0,,
Performance Limit - Reliability Voltage [Yes/No],,
RTSS,,
