Date,Time,"Virtual Memory Commited [MB]","Virtual Memory Available [MB]","Virtual Memory Load [%]","Physical Memory Used [MB]","Physical Memory Available [MB]","Physical Memory Load [%]","Page File Usage [%]","Core 0 VID [V]","Core 1 VID [V]","Core 2 VID [V]","Core 3 VID [V]","Core 0 Clock [MHz]","Core 1 Clock [MHz]","Core 2 Clock [MHz]","Core 3 Clock [MHz]","Bus Clock [MHz]","Uncore Clock [MHz]","PCIe Clock [MHz]","Core 0 Effective Clock [MHz]","Core 1 Effective Clock [MHz]","Core 2 Effective Clock [MHz]","Core 3 Effective Clock [MHz]","Average Effective Clock [MHz]","Core 0 Usage [%]","Core 1 Usage [%]","Core 2 Usage [%]","Core 3 Usage [%]","Max CPU/Thread Usage [%]","Total CPU Usage [%]","On-Demand Clock Modulation [%]","Core 0 Ratio [x]","Core 1 Ratio [x]","Core 2 Ratio [x]","Core 3 Ratio [x]","Uncore Ratio [x]","Core 0 [°C]","Core 1 [°C]","Core 2 [°C]","Core 3 [°C]","Core 0 Distance to TjMAX [°C]","Core 1 Distance to TjMAX [°C]","Core 2 Distance to TjMAX [°C]","Core 3 Distance to TjMAX [°C]","CPU Package [°C]","Core Max [°C]","Core 0 Thermal Throttling [Yes/No]","Core 1 Thermal Throttling [Yes/No]","Core 2 Thermal Throttling [Yes/No]","Core 3 Thermal Throttling [Yes/No]","Core 0 Critical Temperature [Yes/No]","Core 1 Critical Temperature [Yes/No]","Core 2 Critical Temperature [Yes/No]","Core 3 Critical Temperature [Yes/No]","Core 0 Power Limit Exceeded [Yes/No]","Core 1 Power Limit Exceeded [Yes/No]","Core 2 Power Limit Exceeded [Yes/No]","Core 3 Power Limit Exceeded [Yes/No]","Package/Ring Thermal Throttling [Yes/No]","Package/Ring Critical Temperature [Yes/No]","Package/Ring Power Limit Exceeded [Yes/No]","CPU Package [°C]","CPU IA Cores [°C]","CPU GT Cores (Graphics) [°C]","IA Voltage Offset [V]","GT Voltage Offset [V]","CLR (CBo/LLC/Ring) Voltage Offset [V]","Uncore/SA Voltage Offset [V]","Analog IO Voltage Offset [V]","Digital IO Voltage Offset [V]","CPU Package Power [W]","IA Cores Power [W]","Total DRAM Power [W]","GT OC Ratio Limit [x]","Core 0 T0 C0 Residency [%]","Core 1 T0 C0 Residency [%]","Core 2 T0 C0 Residency [%]","Core 3 T0 C0 Residency [%]","Core 0 C3 Residency [%]","Core 1 C3 Residency [%]","Core 2 C3 Residency [%]","Core 3 C3 Residency [%]","Core 0 C7 Residency [%]","Core 1 C7 Residency [%]","Core 2 C7 Residency [%]","Core 3 C7 Residency [%]","Memory Clock [MHz]","Memory Clock Ratio [x]","Tcas [T]","Trcd [T]","Trp [T]","Tras [T]","Trfc [T]","Command Rate [T]","IA: PROCHOT [Yes/No]","IA: Thermal Event [Yes/No]","IA: Graphics Driver [Yes/No]","IA: Autonomous Utilization-Based Frequency Control [Yes/No]","IA: VR Thermal Alert [Yes/No]","IA: Electrical Design Point/Other (ICCmax,PL4,SVID,DDR RAPL) [Yes/No]","IA: Domain-Level PBM PL1 [Yes/No]","IA: Package-Level RAPL/PBM PL1 [Yes/No]","IA: Package-Level RAPL/PBM PL2,PL3 [Yes/No]","IA: Max Turbo Limit [Yes/No]","IA: Turbo Attenuation (MCT) [Yes/No]","GT: Thermal Event [Yes/No]","GT: Graphics Driver [Yes/No]","GT: VR Thermal Alert [Yes/No]","GT: Max VR Voltage, ICCmax, PL4 [Yes/No]","GT: Domain-Level PBM PLGT [Yes/No]","GT: Package-Level RAPL/PBM PL1 [Yes/No]","GT: Package-Level RAPL/PBM PL2,PL3 [Yes/No]","RING: Running Average Thermal Limit [Yes/No]","RING: VR Thermal Alert [Yes/No]","RING: VR TDC [Yes/No]","RING: Max VR Voltage, ICCmax, PL4 [Yes/No]","RING: Domain-Level PBM PL1 [Yes/No]","RING: Package-Level RAPL/PBM PL1 [Yes/No]","RING: Package-Level RAPL/PBM PL2,PL3 [Yes/No]","Motherboard [°C]","Auxiliary [°C]","AUXTIN1 [°C]","CPU (PECI) [°C]","VCCIN [V]","+5V [V]","+3.3V (AVCC) [V]","+3.3V (3VCC) [V]","+12V [V]","CPU SA [V]","VIN4 [V]","3VSB [V]","VBAT [V]","VTT [V]","Vcore [V]","CPU I/O [V]","DIMM [V]","VRING [V]","CPU 1 [RPM]","Chassis1 [RPM]","Chassis3 [RPM]","Chassis Intrusion [Yes/No]","Drive Temperature [°C]","Drive Failure [Yes/No]","Drive Warning [Yes/No]","Drive Temperature [°C]","Drive Failure [Yes/No]","Drive Warning [Yes/No]","Total Host Writes [GB]","Total Host Reads [GB]","Read Activity [%]","Write Activity [%]","Total Activity [%]","Read Rate [MB/s]","Write Rate [MB/s]","Read Total [MB]","Write Total [MB]","Read Activity [%]","Write Activity [%]","Total Activity [%]","Read Rate [MB/s]","Write Rate [MB/s]","Read Total [MB]","Write Total [MB]","GPU Temperature [°C]","GPU Core Voltage [V]","GPU PCIe +12V Input Voltage [V]","GPU 8-pin #1 Input Voltage [V]","GPU Fan [RPM]","GPU Power [W]","GPU PCIe +12V Input Power [W]","GPU 8-pin #1 Input Power [W]","GPU FBVDD_Q Input Power (sum) [W]","GPU Core (NVVDD) Input Power (sum) [W]","GPU Core (NVVDD) Output Power (sum) [W]","GPU Clock [MHz]","GPU Memory Clock [MHz]","GPU Video Clock [MHz]","GPU Effective Clock [MHz]","GPU Core Load [%]","GPU Memory Controller Load [%]","GPU Video Engine Load [%]","GPU Bus Load [%]","GPU Memory Usage [%]","GPU D3D Usage [%]","GPU Video Decode 0 Usage [%]","GPU Video Encode 0 Usage [%]","GPU Computing (Compute_0) Usage [%]","GPU Computing (Compute_1) Usage [%]","GPU VR Usage [%]","GPU Fan [%]","Performance Limit - Power [Yes/No]","Performance Limit - Thermal [Yes/No]","Performance Limit - Reliability Voltage [Yes/No]","Performance Limit - Max Operating Voltage [Yes/No]","Performance Limit - Utilization [Yes/No]","Performance Limit - SLI GPUBoost Sync [Yes/No]","Total GPU Power (normalized) [% of TDP] [%]","Total GPU Power [% of TDP] [%]","GPU Memory Allocated [MB]","GPU D3D Memory Dedicated [MB]","GPU D3D Memory Dynamic [MB]","PCIe Link Speed [GT/s]","Total DL [MB]","Total UP [MB]","Current DL rate [KB/s]","Current UP rate [KB/s]","Total DL [MB]","Total UP [MB]","Current DL rate [KB/s]","Current UP rate [KB/s]","Total Errors []","Framerate [FPS]","Framerate 1% Low [FPS]","Framerate 0.1% Low [FPS]",
8.2.2021,16:41:52.579,8841,4678,65.3,6125,2018,75.2,0.5,1.025,1.022,1.022,1.025,3663.4,3663.4,3663.4,3663.4,99.0,3663.4,99.0,1922.6,1841.1,1708.4,1953.4,1856.4,49.6,46.6,44.1,56.4,56.4,49.2,100.0,37.0,37.0,37.0,37.0,37.0,44,43,43,41,56,57,57,59,44,44,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,44,44,41,0.000,0.000,0.000,0.000,0.000,0.000,30.822,20.928,2.862,25.0,51.5,49.3,45.9,52.2,1.2,1.7,3.3,0.4,24.4,22.0,32.9,12.4,792.1,8.00,11,11,11,28,128,1,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,35.0,20.0,24.0,42.0,1.744,5.120,3.360,3.344,12.192,0.816,1.120,3.424,2.960,1.008,0.968,1.008,1.488,1.864,697,907,907,No,30,No,No,33,No,No,801,2578,0.9,0.3,1.2,0.032,0.224,11823,2659,0.0,0.0,0.0,0.000,0.000,434,5,62,1.187,12.024,12.064,749,83.293,34.196,47.436,12.395,63.239,53.757,1342.0,1752.8,1080.0,1342.0,91.0,35.0,0.0,1.0,79.7,86.8,0.0,0.0,23.9,19.9,0.0,33,No,No,Yes,No,No,No,63.7,64.1,1632,1608,102,8.0,249,12,0.260,1.606,0,0,0.000,0.000,0,60,60,59,
8.2.2021,16:41:55.111,8849,4670,65.4,6132,2011,75.3,0.5,1.055,1.027,1.027,1.025,3663.4,3663.4,3663.4,3663.4,99.0,3663.4,99.0,1828.6,1642.9,1556.9,1684.6,1678.3,48.1,40.7,41.9,48.7,48.7,44.9,100.0,37.0,37.0,37.0,37.0,37.0,42,39,39,37,58,61,61,63,42,42,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,41,41,41,0.000,0.000,0.000,0.000,0.000,0.000,29.324,19.482,2.787,25.0,48.8,43.9,41.7,45.0,4.0,6.7,4.5,5.1,14.4,26.3,31.0,19.4,792.1,8.00,11,11,11,28,128,1,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,35.0,19.0,23.0,42.0,1.728,5.120,3.360,3.360,12.192,0.816,1.120,3.424,2.960,1.008,1.056,1.008,1.488,1.864,696,914,907,No,30,No,No,33,No,No,801,2578,0.0,0.3,0.3,0.000,0.648,11823,2661,0.0,0.0,0.0,0.000,0.000,434,5,61,1.187,12.024,12.064,752,86.257,35.062,49.535,12.561,66.038,56.138,1342.0,1752.8,1080.0,1342.0,88.0,32.0,0.0,1.0,79.4,96.7,0.0,0.0,24.4,22.8,0.0,33,No,No,Yes,No,No,No,66.7,66.4,1625,1602,102,8.0,249,12,1.707,0.042,0,0,0.000,0.000,0,60,60,59,
8.2.2021,16:41:57.670,8841,4678,65.3,6123,2020,75.1,0.5,1.025,1.022,1.022,1.070,3663.4,3663.4,3663.4,3861.4,99.0,3663.4,99.0,1740.6,1658.7,1658.0,1716.3,1693.4,49.3,43.8,40.1,50.0,50.0,45.8,100.0,37.0,37.0,37.0,39.0,37.0,44,42,43,41,56,58,57,59,44,44,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,45,45,42,0.000,0.000,0.000,0.000,0.000,0.000,29.336,19.398,2.777,25.0,46.6,44.4,44.4,46.0,0.4,1.1,1.0,0.3,23.7,24.7,28.7,29.9,792.1,8.00,11,11,11,28,128,1,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,35.0,23.0,61.0,42.0,1.728,5.120,3.360,3.344,12.192,0.816,1.096,3.424,2.960,1.008,0.760,1.008,1.488,1.864,696,915,907,No,30,No,No,33,No,No,801,2578,0.0,0.2,0.2,0.000,0.409,11823,2662,0.0,0.0,0.0,0.000,0.000,434,5,58,1.006,12.064,12.104,752,58.607,28.194,28.747,12.594,38.321,32.577,1139.1,1752.8,934.6,1139.1,87.0,29.0,0.0,1.0,79.3,84.5,0.0,0.0,0.0,23.3,0.0,33,No,No,No,No,Yes,No,44.6,45.1,1624,1600,93,8.0,249,12,0.310,1.397,0,0,0.000,0.000,0,60,60,59,
8.2.2021,16:42:0.206,8839,4680,65.3,6119,2024,75.1,0.5,1.025,1.027,1.047,1.025,3663.4,3663.4,3762.4,3663.4,99.0,3663.4,99.0,1526.8,1462.8,1399.8,1370.2,1439.9,36.8,36.1,36.1,36.1,36.8,36.3,100.0,37.0,37.0,38.0,37.0,37.0,40,38,42,37,60,62,58,63,42,42,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,41,41,41,0.000,0.000,0.000,0.000,0.000,0.000,25.612,16.636,2.587,25.0,40.7,39.0,37.4,36.6,1.5,3.0,5.2,1.4,41.8,37.5,38.8,43.3,792.1,8.00,11,11,11,28,128,1,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,35.0,27.0,63.0,41.0,1.744,5.120,3.360,3.360,12.192,0.816,1.008,3.424,2.944,1.008,1.025,1.008,1.488,1.864,698,914,909,No,30,No,No,33,No,No,801,2578,1.1,0.2,1.2,0.004,0.312,11823,2662,0.0,0.0,0.0,0.000,0.000,434,5,57,1.006,12.064,12.104,752,58.027,28.097,28.263,12.657,37.680,32.032,1139.1,1752.8,934.6,1139.1,88.0,30.0,0.0,1.0,79.3,89.1,0.0,0.0,0.0,25.0,0.0,33,No,No,No,No,Yes,No,45.4,46.0,1624,1600,89,8.0,249,12,0.135,2.823,0,0,0.000,0.000,0,60,60,59,
8.2.2021,16:42:2.955,9088,4431,67.2,6155,1988,75.5,0.5,1.070,1.071,1.071,1.070,3861.4,3861.4,3861.4,3861.4,99.0,3861.4,99.0,1855.0,1761.5,1731.7,1809.1,1789.3,47.8,48.4,49.6,50.3,50.3,49.0,100.0,39.0,39.0,39.0,39.0,39.0,41,38,37,35,59,62,63,65,41,41,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,42,41,41,0.000,0.000,0.000,0.000,0.000,0.000,29.810,20.298,2.762,25.0,49.6,47.2,46.4,48.4,0.7,1.1,1.7,1.0,22.6,34.6,33.4,20.8,792.1,8.00,11,11,11,28,128,1,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,35.0,29.0,54.0,42.0,1.744,5.120,3.360,3.360,12.192,0.824,1.104,3.424,2.960,1.008,1.032,1.008,1.488,1.872,697,922,923,No,30,No,No,33,No,No,801,2578,0.0,0.0,0.0,0.000,0.037,11823,2663,0.5,0.2,0.7,0.005,0.110,434,5,53,1.000,12.096,12.128,754,38.422,21.567,15.184,10.465,20.242,17.208,961.9,1502.3,788.7,961.9,30.0,13.0,0.0,1.0,77.7,31.6,0.0,0.0,0.0,5.8,0.0,32,No,No,No,No,Yes,No,31.2,29.6,1591,1568,96,8.0,249,12,19.422,4.586,0,0,0.000,0.000,0,30,2,2,
8.2.2021,16:42:5.494,8846,4673,65.4,6143,2000,75.4,0.5,1.025,1.022,1.022,1.025,3663.4,3663.4,3663.4,3663.4,99.0,3663.4,99.0,1189.5,1290.1,1126.7,1146.0,1188.1,27.8,28.9,32.9,29.5,32.9,29.8,100.0,37.0,37.0,37.0,37.0,37.0,41,41,39,37,59,59,61,63,41,41,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,42,42,40,0.000,0.000,0.000,0.000,0.000,0.000,22.673,14.179,2.411,25.0,31.6,34.2,29.9,30.4,4.2,5.6,2.4,4.8,50.2,45.8,56.0,51.9,792.1,8.00,11,11,11,28,128,1,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,35.0,31.0,65.0,41.0,1.744,5.120,3.360,3.360,12.192,0.816,1.000,3.424,2.944,1.008,1.025,1.008,1.488,1.872,697,921,909,No,30,No,No,33,No,No,801,2578,1.7,0.1,1.7,0.003,0.037,11823,2663,0.0,0.0,0.0,0.000,0.000,434,5,52,1.006,12.088,12.128,755,39.656,21.843,16.142,10.424,21.527,18.300,961.9,1502.3,788.7,961.9,36.0,17.0,0.0,1.0,77.7,36.0,0.0,0.0,0.0,6.7,0.0,32,No,No,No,No,Yes,No,33.5,30.5,1591,1568,96,8.0,249,12,0.033,0.564,0,0,0.000,0.000,0,30,21,21,
8.2.2021,16:42:8.053,8847,4672,65.4,6128,2015,75.2,0.5,1.025,1.027,1.027,1.070,3663.4,3663.4,3663.4,3861.4,99.0,3762.4,99.0,1325.1,1372.1,1279.8,1264.1,1310.3,37.4,35.5,32.5,32.5,37.4,34.5,100.0,37.0,37.0,37.0,39.0,38.0,41,37,40,36,59,63,60,64,41,41,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,41,41,41,0.000,0.000,0.000,0.000,0.000,0.000,24.858,15.829,2.505,25.0,35.3,36.5,34.1,33.7,7.0,6.2,5.7,5.1,43.1,31.3,42.8,45.0,792.1,8.00,11,11,11,28,128,1,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,35.0,19.0,46.0,41.0,1.728,5.120,3.360,3.360,12.192,0.816,1.096,3.424,2.944,1.008,0.528,1.008,1.488,1.864,700,915,904,No,30,No,No,33,No,No,801,2578,0.9,0.1,0.9,0.022,0.055,11823,2663,1.8,0.0,1.8,0.019,0.007,434,5,51,1.006,12.104,12.136,734,30.094,18.798,9.624,9.543,12.828,10.905,961.9,1502.3,788.7,961.9,25.0,12.0,0.0,0.0,77.9,0.8,0.0,0.0,0.0,0.0,0.0,32,No,No,No,No,Yes,No,29.1,23.1,1595,1572,96,8.0,249,12,0.000,0.000,0,0,0.000,0.000,0,30,21,21,
8.2.2021,16:42:11.065,8857,4661,65.5,6117,2026,75.1,0.5,1.025,1.022,1.022,1.025,3663.4,3663.4,3663.4,3663.4,99.0,3663.4,99.0,2121.2,2134.2,2123.2,2175.5,2138.5,56.4,55.2,61.9,51.5,61.9,56.3,100.0,37.0,37.0,37.0,37.0,37.0,45,43,45,41,55,57,55,59,45,45,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,46,46,42,0.000,0.000,0.000,0.000,0.000,0.000,31.425,22.498,2.594,25.0,57.1,57.4,57.2,58.5,1.1,0.8,1.4,1.1,14.7,15.7,17.1,12.9,792.1,8.00,11,11,11,28,128,1,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,35.0,20.0,24.0,44.0,1.728,5.080,3.360,3.360,12.288,0.816,1.104,3.424,2.944,1.008,1.032,1.008,1.488,1.864,703,923,910,No,30,No,No,33,No,No,801,2578,3.5,1.1,4.6,0.063,0.633,11823,2665,100.0,21.0,100.0,14.771,0.004,477,5,49,0.837,12.128,12.144,727,15.445,9.035,4.736,1.394,6.315,5.368,696.1,405.0,571.3,696.1,46.0,42.0,0.0,4.0,69.6,41.0,0.0,0.0,0.0,0.0,0.0,31,No,No,No,No,Yes,No,13.7,11.9,1425,1401,96,2.5,249,12,0.047,0.113,0,0,0.000,0.000,0,59,6,6,
8.2.2021,16:42:13.904,8772,4747,64.8,6205,1937,76.2,0.5,1.055,1.022,1.022,1.025,3663.4,3663.4,3663.4,3663.4,99.0,3663.4,99.0,2531.4,2606.0,2591.1,2699.3,2606.9,66.3,70.4,76.1,72.5,76.1,71.3,100.0,37.0,37.0,37.0,37.0,37.0,43,44,43,41,57,56,57,59,44,44,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,43,43,42,0.000,0.000,0.000,0.000,0.000,0.000,35.427,26.386,2.620,25.0,68.4,70.4,70.0,72.9,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.2,792.1,8.00,11,11,11,28,128,1,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,35.0,20.0,24.0,44.0,1.744,5.080,3.360,3.360,12.288,0.816,1.112,3.424,2.944,1.008,1.040,1.008,1.488,1.864,703,917,909,No,30,No,No,33,No,No,801,2578,0.4,0.1,0.5,0.022,0.078,11823,2665,100.0,0.0,100.0,23.021,0.002,539,5,48,0.837,12.120,12.144,688,18.121,10.084,6.363,1.903,8.488,7.216,696.1,405.0,571.3,696.1,42.0,39.0,0.0,3.0,69.6,40.5,0.0,0.0,0.0,0.0,0.0,22,No,No,No,No,Yes,No,16.2,13.9,1425,1401,96,2.5,249,12,3.124,2.817,0,0,0.000,0.000,0,59,6,6,
8.2.2021,16:42:16.855,9003,4516,66.5,6383,1760,78.3,0.5,1.020,1.022,1.022,1.025,3663.4,3663.4,3663.4,3663.4,99.0,3663.4,99.0,2814.0,2838.3,2828.4,2929.9,2852.6,69.6,80.2,68.1,75.8,80.2,73.4,100.0,37.0,37.0,37.0,37.0,37.0,45,46,44,43,55,54,56,57,45,46,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,45,45,42,0.000,0.000,0.000,0.000,0.000,0.000,37.274,28.368,2.721,25.0,76.1,76.7,76.4,79.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,792.1,8.00,11,11,11,28,128,1,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,35.0,20.0,24.0,45.0,1.728,5.120,3.376,3.360,12.288,0.824,1.104,3.424,2.960,1.016,1.032,1.016,1.488,1.872,702,916,910,No,30,No,No,33,No,No,801,2578,5.3,0.1,5.3,0.168,0.091,11824,2665,100.0,0.0,100.0,26.737,0.000,614,5,47,0.837,12.128,12.144,537,18.809,10.576,6.558,2.328,8.744,7.433,696.1,405.0,571.3,696.1,48.0,44.0,0.0,3.0,73.8,45.5,0.0,0.0,0.0,0.0,0.0,3,No,No,No,No,Yes,No,15.6,14.5,1511,1487,96,2.5,249,12,0.000,0.000,0,0,0.000,0.000,0,59,6,6,
