Benchmark 1,Benchmark 2,Benchmark 3
60,,0
60,,0
60,,0
60,,0
30,,0
30,,0
30,,0
59,,0
59,,0
59,,0
59,60,0
58,59,0
59,60,0
56,240,0
58,62,0
30,21,0
30,62,57
30,61,57
30,62,58
30,62,56
21,62,9
30,62,55
30,60,55
30,60,60
30,59,59
30,43,50
25,59,42
30,59,56
30,59,56
30,59,34
16,59,44
30,56,59
24,59,36
30,59,30
30,59,59
30,59,57
30,60,45
30,60,56
11,60,59
30,60,54
0,15,50
1,60,60
0,60,47
24,60,4
14,60,59
19,59,56
19,60,58
19,60,54
18,60,54
18,60,46
19,60,54
19,60,1
19,59,1
19,60,30
19,57,41
19,41,40
18,60,35
19,60,20
6,60,59
17,60,57
1,60,58
8,60,58
15,60,48
14,60,59
14,60,60
14,60,59
15,2,60
14,20,59
12,8,59
16,16,58
15,12,59
17,15,45
15,15,59
12,15,59
12,15,57
12,15,55
15,15,36
14,15,60
13,15,25
13,15,13
12,15,21
12,15,9
14,15,10
14,15,9
15,15,9
17,15,9
19,15,13
15,15,8
14,15,7
15,6,7
14,17,7
14,18,4
15,11,4
15,10,5
12,12,4
14,11,8
13,8,7
15,12,8
16,9,7
16,9,7
16,10,5
17,12,5
13,9,3
13,10,6
16,11,7
16,9,7
16,9,6
16,9,7
14,9,4
14,9,3
16,9,7
16,10,7
16,11,6
16,11,6
17,11,6
13,8,6
12,9,4
15,8,4
16,9,7
16,10,7
17,12,7
12,34,7
12,33,7
15,30,6
14,16,5
14,16,4
18,14,4
14,9,7
12,9,6
14,9,7
14,9,7
15,8,7
13,7,4
11,8,3
15,7,4
15,7,8
15,8,8
15,8,7
8,8,7
17,8,8
16,7,4
16,7,16
16,7,14
19,8,12
18,9,8
18,7,11
17,7,12
16,8,13
15,7,13
17,7,8
19,8,13
19,9,12
18,7,15
16,7,10
16,8,12
18,6,12
19,10,15
19,14,16
19,11,15
18,10,15
17,9,17
17,9,17
18,9,15
18,10,14
16,9,14
16,8,15
15,9,18
17,8,20
17,11,19
18,9,20
20,15,20
21,14,24
20,14,23
23,16,24
19,18,24
25,17,21
26,18,17
17,16,15
17,15,12
16,17,17
18,14,8
19,13,19
19,15,21
18,16,21
16,16,22
17,15,21
18,16,20
16,14,7
16,15,23
17,16,17
16,17,19
15,17,18
13,17,23
21,15,20
23,15,23
19,16,28
14,19,25
16,17,26
14,17,27
14,19,26
16,20,26
17,17,24
16,18,24
16,19,24
16,20,PCIe Link Speed [GT/s]
14,19,RTSS
14,23,
17,25,
18,19,
21,17,
23,17,
27,17,
21,20,
24,21,
22,24,
22,25,
23,24,
22,22,
20,23,
20,24,
23,26,
21,26,
21,23,
23,21,
20,24,
19,22,
20,22,
20,25,
22,25,
22,24,
22,26,
21,26,
22,25,
20,32,
20,32,
23,25,
21,26,
21,28,
25,27,
23,28,
22,28,
22,28,
25,31,
24,29,
26,26,
24,15,
23,22,
22,22,
21,21,
24,20,
24,20,
22,PCIe Link Speed [GT/s],
23,RTSS,
26,,
19,,
20,,
20,,
22,,
23,,
23,,
23,,
24,,
22,,
22,,
24,,
24,,
24,,
24,,
30,,
29,,
27,,
30,,
29,,
30,,
29,,
24,,
20,,
21,,
23,,
22,,
25,,
25,,
23,,
17,,
17,,
22,,
19,,
22,,
22,,
22,,
12,,
12,,
14,,
12,,
12,,
10,,
15,,
17,,
17,,
19,,
21,,
24,,
25,,
29,,
28,,
35,,
36,,
36,,
34,,
31,,
31,,
31,,
28,,
29,,
28,,
30,,
31,,
31,,
31,,
PCIe Link Speed [GT/s],,
RTSS,,
