Date,Time,"Virtual Memory Commited [MB]","Virtual Memory Available [MB]","Virtual Memory Load [%]","Physical Memory Used [MB]","Physical Memory Available [MB]","Physical Memory Load [%]","Page File Usage [%]","Core 0 VID [V]","Core 1 VID [V]","Core 2 VID [V]","Core 3 VID [V]","Core 0 Clock [MHz]","Core 1 Clock [MHz]","Core 2 Clock [MHz]","Core 3 Clock [MHz]","Bus Clock [MHz]","Uncore Clock [MHz]","PCIe Clock [MHz]","Core 0 Effective Clock [MHz]","Core 1 Effective Clock [MHz]","Core 2 Effective Clock [MHz]","Core 3 Effective Clock [MHz]","Average Effective Clock [MHz]","Core 0 Usage [%]","Core 1 Usage [%]","Core 2 Usage [%]","Core 3 Usage [%]","Max CPU/Thread Usage [%]","Total CPU Usage [%]","On-Demand Clock Modulation [%]","Core 0 Ratio [x]","Core 1 Ratio [x]","Core 2 Ratio [x]","Core 3 Ratio [x]","Uncore Ratio [x]","Core 0 [°C]","Core 1 [°C]","Core 2 [°C]","Core 3 [°C]","Core 0 Distance to TjMAX [°C]","Core 1 Distance to TjMAX [°C]","Core 2 Distance to TjMAX [°C]","Core 3 Distance to TjMAX [°C]","CPU Package [°C]","Core Max [°C]","Core 0 Thermal Throttling [Yes/No]","Core 1 Thermal Throttling [Yes/No]","Core 2 Thermal Throttling [Yes/No]","Core 3 Thermal Throttling [Yes/No]","Core 0 Critical Temperature [Yes/No]","Core 1 Critical Temperature [Yes/No]","Core 2 Critical Temperature [Yes/No]","Core 3 Critical Temperature [Yes/No]","Core 0 Power Limit Exceeded [Yes/No]","Core 1 Power Limit Exceeded [Yes/No]","Core 2 Power Limit Exceeded [Yes/No]","Core 3 Power Limit Exceeded [Yes/No]","Package/Ring Thermal Throttling [Yes/No]","Package/Ring Critical Temperature [Yes/No]","Package/Ring Power Limit Exceeded [Yes/No]","CPU Package [°C]","CPU IA Cores [°C]","CPU GT Cores (Graphics) [°C]","IA Voltage Offset [V]","GT Voltage Offset [V]","CLR (CBo/LLC/Ring) Voltage Offset [V]","Uncore/SA Voltage Offset [V]","Analog IO Voltage Offset [V]","Digital IO Voltage Offset [V]","CPU Package Power [W]","IA Cores Power [W]","Total DRAM Power [W]","GT OC Ratio Limit [x]","Core 0 T0 C0 Residency [%]","Core 1 T0 C0 Residency [%]","Core 2 T0 C0 Residency [%]","Core 3 T0 C0 Residency [%]","Core 0 C3 Residency [%]","Core 1 C3 Residency [%]","Core 2 C3 Residency [%]","Core 3 C3 Residency [%]","Core 0 C7 Residency [%]","Core 1 C7 Residency [%]","Core 2 C7 Residency [%]","Core 3 C7 Residency [%]","Memory Clock [MHz]","Memory Clock Ratio [x]","Tcas [T]","Trcd [T]","Trp [T]","Tras [T]","Trfc [T]","Command Rate [T]","IA: PROCHOT [Yes/No]","IA: Thermal Event [Yes/No]","IA: Graphics Driver [Yes/No]","IA: Autonomous Utilization-Based Frequency Control [Yes/No]","IA: VR Thermal Alert [Yes/No]","IA: Electrical Design Point/Other (ICCmax,PL4,SVID,DDR RAPL) [Yes/No]","IA: Domain-Level PBM PL1 [Yes/No]","IA: Package-Level RAPL/PBM PL1 [Yes/No]","IA: Package-Level RAPL/PBM PL2,PL3 [Yes/No]","IA: Max Turbo Limit [Yes/No]","IA: Turbo Attenuation (MCT) [Yes/No]","GT: Thermal Event [Yes/No]","GT: Graphics Driver [Yes/No]","GT: VR Thermal Alert [Yes/No]","GT: Max VR Voltage, ICCmax, PL4 [Yes/No]","GT: Domain-Level PBM PLGT [Yes/No]","GT: Package-Level RAPL/PBM PL1 [Yes/No]","GT: Package-Level RAPL/PBM PL2,PL3 [Yes/No]","RING: Running Average Thermal Limit [Yes/No]","RING: VR Thermal Alert [Yes/No]","RING: VR TDC [Yes/No]","RING: Max VR Voltage, ICCmax, PL4 [Yes/No]","RING: Domain-Level PBM PL1 [Yes/No]","RING: Package-Level RAPL/PBM PL1 [Yes/No]","RING: Package-Level RAPL/PBM PL2,PL3 [Yes/No]","Motherboard [°C]","Auxiliary [°C]","AUXTIN1 [°C]","CPU (PECI) [°C]","VCCIN [V]","+5V [V]","+3.3V (AVCC) [V]","+3.3V (3VCC) [V]","+12V [V]","CPU SA [V]","VIN4 [V]","3VSB [V]","VBAT [V]","VTT [V]","Vcore [V]","CPU I/O [V]","DIMM [V]","VRING [V]","CPU 1 [RPM]","Chassis1 [RPM]","Chassis3 [RPM]","Chassis Intrusion [Yes/No]","Drive Temperature [°C]","Drive Failure [Yes/No]","Drive Warning [Yes/No]","Drive Temperature [°C]","Drive Failure [Yes/No]","Drive Warning [Yes/No]","Total Host Writes [GB]","Total Host Reads [GB]","Read Activity [%]","Write Activity [%]","Total Activity [%]","Read Rate [MB/s]","Write Rate [MB/s]","Read Total [MB]","Write Total [MB]","Read Activity [%]","Write Activity [%]","Total Activity [%]","Read Rate [MB/s]","Write Rate [MB/s]","Read Total [MB]","Write Total [MB]","GPU Temperature [°C]","GPU Core Voltage [V]","GPU PCIe +12V Input Voltage [V]","GPU 8-pin #1 Input Voltage [V]","GPU Fan [RPM]","GPU Power [W]","GPU PCIe +12V Input Power [W]","GPU 8-pin #1 Input Power [W]","GPU FBVDD_Q Input Power (sum) [W]","GPU Core (NVVDD) Input Power (sum) [W]","GPU Core (NVVDD) Output Power (sum) [W]","GPU Clock [MHz]","GPU Memory Clock [MHz]","GPU Video Clock [MHz]","GPU Effective Clock [MHz]","GPU Core Load [%]","GPU Memory Controller Load [%]","GPU Video Engine Load [%]","GPU Bus Load [%]","GPU Memory Usage [%]","GPU D3D Usage [%]","GPU Video Decode 0 Usage [%]","GPU Video Encode 0 Usage [%]","GPU Computing (Compute_0) Usage [%]","GPU Computing (Compute_1) Usage [%]","GPU VR Usage [%]","GPU Fan [%]","Performance Limit - Power [Yes/No]","Performance Limit - Thermal [Yes/No]","Performance Limit - Reliability Voltage [Yes/No]","Performance Limit - Max Operating Voltage [Yes/No]","Performance Limit - Utilization [Yes/No]","Performance Limit - SLI GPUBoost Sync [Yes/No]","Total GPU Power (normalized) [% of TDP] [%]","Total GPU Power [% of TDP] [%]","GPU Memory Allocated [MB]","GPU D3D Memory Dedicated [MB]","GPU D3D Memory Dynamic [MB]","PCIe Link Speed [GT/s]","Total DL [MB]","Total UP [MB]","Current DL rate [KB/s]","Current UP rate [KB/s]","Total DL [MB]","Total UP [MB]","Current DL rate [KB/s]","Current UP rate [KB/s]","Total Errors []",
15.2.2021,19:11:48.313,7684,5067,60.2,5415,2728,66.4,2.0,1.025,1.027,1.027,1.025,3686.0,3686.0,3686.0,3686.0,99.6,3686.0,99.6,584.0,597.1,517.9,694.1,598.3,13.4,16.5,12.2,17.7,17.7,14.9,100.0,37.0,37.0,37.0,37.0,37.0,37,35,35,33,63,65,65,67,39,37,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,39,36,39,0.000,0.000,0.000,0.000,0.000,0.000,15.042,7.573,1.725,25.0,15.4,15.8,13.7,18.3,7.3,4.6,4.3,1.6,63.3,62.8,70.8,69.8,797.0,8.00,11,11,11,28,128,1,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,37.0,37.0,113.0,39.0,1.744,5.120,3.360,3.360,12.192,0.816,0.872,3.424,2.944,1.008,1.025,1.008,1.488,1.864,716,928,926,No,31,No,No,33,No,No,821,2592,2.4,0.6,3.0,0.040,0.364,9138,3347,0.0,0.0,0.0,0.000,0.000,882,10,55,1.037,12.096,12.128,0,35.455,20.612,13.171,10.179,17.561,14.930,1189.7,1752.8,975.7,1189.7,10.0,8.0,0.0,0.0,37.9,11.6,0.0,0.0,2.4,0.0,0.0,0,No,No,No,No,Yes,No,32.4,27.3,776,750,29,8.0,215,13,0.247,0.037,0,0,0.000,0.000,0,
15.2.2021,19:11:50.846,7685,5066,60.2,5417,2726,66.5,2.0,1.025,1.027,1.027,1.025,3686.0,3686.0,3686.0,3686.0,99.6,3686.0,99.6,293.3,323.3,249.1,319.7,296.4,8.0,8.0,8.6,8.6,8.6,8.3,100.0,37.0,37.0,37.0,37.0,37.0,35,38,33,32,65,62,67,68,40,38,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,39,37,39,0.000,0.000,0.000,0.000,0.000,0.000,11.230,4.434,1.599,25.0,7.7,8.4,6.5,8.3,6.4,7.2,4.5,2.4,72.6,72.1,80.7,81.0,797.0,8.00,11,11,11,28,128,1,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,37.0,30.0,50.0,39.0,1.744,5.120,3.360,3.360,12.192,0.824,0.792,3.424,2.944,1.008,1.025,1.008,1.488,1.864,716,922,931,No,31,No,No,33,No,No,821,2592,0.0,0.3,0.3,0.000,0.824,9138,3349,0.0,0.0,0.0,0.000,0.000,882,10,56,1.037,12.096,12.136,0,35.158,20.987,12.500,10.779,16.663,14.165,1189.7,1752.8,975.7,1189.7,19.0,14.0,0.0,0.0,37.9,11.8,0.0,0.0,2.2,0.0,0.0,0,No,No,No,No,Yes,No,31.3,27.0,776,750,30,8.0,215,13,6.156,1.102,0,0,0.000,0.000,0,
15.2.2021,19:11:53.388,7679,5072,60.2,5414,2729,66.4,2.0,1.025,1.071,1.047,1.070,3686.0,3885.2,3785.6,3885.2,99.6,3686.0,99.6,460.7,558.4,397.0,542.7,489.7,19.7,21.6,16.0,16.0,21.6,18.3,100.0,37.0,39.0,38.0,39.0,37.0,35,35,35,34,65,65,65,66,40,35,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,39,36,39,0.000,0.000,0.000,0.000,0.000,0.000,14.722,7.085,1.744,25.0,12.0,14.6,10.4,14.2,11.7,11.7,4.1,1.5,52.0,52.1,74.5,76.7,797.0,8.00,11,11,11,28,128,1,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,37.0,29.0,61.0,38.0,1.744,5.120,3.360,3.360,12.192,0.816,0.896,3.424,2.944,1.008,1.025,1.008,1.488,1.872,718,924,931,No,31,No,No,33,No,No,821,2592,1.3,0.1,1.4,0.051,0.046,9138,3349,0.0,0.0,0.0,0.000,0.000,882,10,56,1.037,12.104,12.136,0,32.301,19.851,10.777,10.211,14.369,12.215,1189.7,1752.8,975.7,1189.7,11.0,8.0,0.0,0.0,37.9,11.6,0.0,0.0,3.1,0.0,0.0,0,No,No,No,No,Yes,No,31.2,24.8,776,750,30,8.0,215,13,0.092,0.140,0,0,0.000,0.000,0,
15.2.2021,19:11:55.921,7680,5071,60.2,5414,2729,66.4,2.0,1.025,1.027,1.027,1.025,3686.0,3686.0,3686.0,3686.0,99.6,3686.0,99.6,431.5,535.7,388.7,498.9,463.7,10.4,9.8,8.6,12.9,12.9,10.4,100.0,37.0,37.0,37.0,37.0,37.0,37,36,36,34,63,64,64,66,38,37,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,39,38,39,0.000,0.000,0.000,0.000,0.000,0.000,14.185,6.718,1.723,25.0,11.3,14.0,10.2,13.0,4.7,6.0,6.2,5.0,64.2,61.7,72.0,73.4,797.0,8.00,11,11,11,28,128,1,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,37.0,27.0,35.0,39.0,1.744,5.120,3.360,3.360,12.192,0.816,0.984,3.424,2.944,1.008,0.544,1.008,1.488,1.872,715,917,910,No,31,No,No,33,No,No,821,2592,0.9,0.3,1.2,0.014,0.310,9138,3350,0.0,0.0,0.0,0.000,0.000,882,10,56,1.037,12.096,12.136,0,36.987,21.664,13.653,11.071,18.204,15.475,1189.7,1752.8,975.7,1189.7,19.0,14.0,0.0,0.0,37.9,12.5,0.0,0.0,3.6,0.0,0.0,0,No,No,No,No,Yes,No,32.2,27.6,776,750,30,8.0,215,13,0.112,0.042,0,0,0.000,0.000,0,
15.2.2021,19:11:58.678,7717,5034,60.5,5425,2718,66.6,2.0,1.025,1.027,1.027,1.025,3686.0,3686.0,3686.0,3686.0,99.6,3686.0,99.6,799.8,1064.1,888.0,926.5,919.6,23.3,25.1,22.6,23.3,25.1,23.6,100.0,37.0,37.0,37.0,37.0,37.0,41,38,39,35,59,62,61,65,41,41,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,40,40,39,0.000,0.000,0.000,0.000,0.000,0.000,20.439,11.959,2.042,25.0,20.9,27.8,23.2,24.2,7.1,3.9,4.7,5.2,56.8,53.0,62.1,63.0,797.0,8.00,11,11,11,28,128,1,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,37.0,18.0,45.0,40.0,1.744,5.120,3.360,3.360,12.192,0.824,1.136,3.424,2.944,1.016,0.592,1.008,1.488,1.872,712,929,931,No,31,No,No,33,No,No,821,2592,18.0,2.4,20.4,0.454,1.347,9139,3354,95.6,0.0,95.7,13.634,0.016,918,10,56,1.037,12.088,12.128,0,34.663,20.598,12.395,10.426,16.530,14.052,1189.7,1752.8,975.7,1189.7,17.0,12.0,0.0,0.0,37.8,11.7,0.0,0.0,2.8,0.0,0.0,0,No,No,No,No,Yes,No,31.2,26.7,773,747,29,8.0,215,13,0.993,1.237,0,0,0.000,0.000,0,
15.2.2021,19:12:1.389,7995,4755,62.7,5612,2531,68.9,2.0,1.025,1.022,1.027,1.045,3686.0,3686.0,3686.0,3785.6,99.6,3686.0,99.6,806.2,913.8,772.2,1114.3,901.6,18.7,22.7,16.4,22.7,22.7,20.1,100.0,37.0,37.0,37.0,38.0,37.0,37,40,37,38,63,60,63,62,41,40,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,39,39,39,0.000,0.000,0.000,0.000,0.000,0.000,20.198,11.827,2.219,25.0,21.0,23.8,20.2,29.0,3.9,2.8,1.8,1.4,65.0,63.3,70.5,62.4,797.0,8.00,11,11,11,28,128,1,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,37.0,24.0,73.0,40.0,1.744,5.120,3.360,3.360,12.192,0.824,1.152,3.424,2.944,1.008,1.025,1.008,1.488,1.872,719,915,912,No,31,No,No,33,No,No,821,2593,20.9,16.8,37.7,0.593,5.949,9141,3369,27.2,0.0,27.2,3.569,0.015,927,10,55,1.000,12.104,12.144,0,32.307,19.754,10.881,10.078,14.512,12.337,961.9,1502.3,788.7,961.9,12.0,9.0,0.0,0.0,38.3,12.8,0.0,0.0,3.7,0.0,0.0,0,No,No,No,No,Yes,No,28.1,24.9,784,757,30,8.0,215,13,0.344,0.128,0,0,0.000,0.000,0,
15.2.2021,19:12:4.066,8048,4703,63.1,5664,2479,69.5,2.0,1.025,1.027,1.027,1.025,3686.0,3686.0,3686.0,3686.0,99.6,3686.0,99.6,818.0,1833.3,540.5,745.8,984.4,21.2,43.6,11.4,18.3,43.6,23.6,100.0,37.0,37.0,37.0,37.0,37.0,37,41,38,34,63,59,62,66,41,41,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,40,40,39,0.000,0.000,0.000,0.000,0.000,0.000,22.063,13.223,2.195,25.0,21.2,47.2,14.1,19.4,0.7,0.3,0.9,0.9,72.3,41.8,81.8,76.5,797.0,8.00,11,11,11,28,128,1,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,37.0,17.0,120.0,40.0,1.744,5.120,3.360,3.360,12.192,0.824,1.152,3.424,2.944,1.008,1.025,1.008,1.488,1.872,715,922,916,No,31,No,No,33,No,No,821,2593,0.9,4.1,5.0,0.036,0.176,9141,3369,24.3,0.0,24.3,2.246,0.001,933,10,55,1.000,12.104,12.136,0,30.578,18.991,9.915,9.640,13.216,11.235,961.9,1502.3,788.7,961.9,19.0,14.0,0.0,0.0,38.3,14.1,0.0,0.0,3.5,0.0,0.0,0,No,No,No,No,Yes,No,28.3,23.5,785,758,29,8.0,215,13,0.000,0.046,0,0,0.000,0.000,0,
15.2.2021,19:12:6.619,8052,4699,63.1,5678,2465,69.7,2.0,1.025,1.027,1.027,1.025,3686.0,3686.0,3686.0,3686.0,99.6,3686.0,99.6,563.2,686.2,1729.7,1043.9,1005.7,12.8,16.9,39.7,25.7,39.7,23.8,100.0,37.0,37.0,37.0,37.0,37.0,36,36,42,35,64,64,58,65,42,42,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,42,42,39,0.000,0.000,0.000,0.000,0.000,0.000,22.223,13.159,2.165,25.0,14.6,17.8,44.5,27.0,0.9,0.6,0.1,0.3,80.2,78.2,45.3,69.9,797.0,8.00,11,11,11,28,128,1,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,37.0,17.0,84.0,41.0,1.744,5.120,3.360,3.360,12.192,0.816,1.160,3.424,2.944,1.008,1.025,1.008,1.488,1.872,713,929,915,No,31,No,No,33,No,No,821,2593,1.2,0.2,1.4,0.216,0.128,9141,3370,0.3,0.0,0.3,0.019,0.004,933,10,56,1.000,12.096,12.128,0,32.474,19.741,11.061,10.011,14.748,12.537,961.9,1502.3,788.7,961.9,14.0,11.0,0.0,0.0,38.3,13.7,0.0,0.0,3.1,0.0,0.0,0,No,No,No,No,Yes,No,29.0,25.0,785,758,29,8.0,215,13,0.096,0.103,0,0,0.000,0.000,0,
15.2.2021,19:12:9.355,8377,4374,65.6,5872,2271,72.1,2.0,1.025,1.047,1.027,1.050,3686.0,3785.6,3686.0,3785.6,99.6,3686.0,99.6,609.0,800.3,1071.8,1080.7,890.5,15.2,23.7,29.2,26.8,29.2,23.7,100.0,37.0,38.0,37.0,38.0,37.0,37,35,35,32,63,65,65,68,38,37,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,39,38,39,0.000,0.000,0.000,0.000,0.000,0.000,19.956,11.388,2.038,25.0,15.8,20.8,27.7,27.9,8.9,5.3,0.2,2.0,64.5,65.9,67.5,61.2,797.0,8.00,11,11,11,28,128,1,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,37.0,33.0,75.0,39.0,1.744,5.120,3.360,3.360,12.192,0.824,1.024,3.424,2.944,1.008,0.576,1.008,1.488,1.872,715,921,912,No,31,No,No,33,No,No,821,2593,7.0,0.2,7.1,0.421,0.176,9143,3370,100.0,0.0,100.0,49.134,0.001,1061,10,55,1.000,12.104,12.144,0,32.016,19.560,10.784,9.918,14.378,12.223,961.9,1502.3,788.7,961.9,13.0,9.0,0.0,0.0,38.3,14.3,0.0,0.0,3.5,0.0,0.0,0,No,No,No,No,Yes,No,28.6,24.6,785,758,30,8.0,215,13,0.043,0.058,0,0,0.000,0.000,0,
15.2.2021,19:12:12.138,8376,4375,65.6,5887,2256,72.2,2.0,1.025,1.027,1.027,1.025,3686.0,3686.0,3686.0,3686.0,99.6,3686.0,99.6,313.0,586.3,203.2,338.6,360.3,9.1,14.8,3.4,3.4,14.8,7.7,100.0,37.0,37.0,37.0,37.0,37.0,36,36,34,32,64,64,66,68,39,36,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,39,37,39,0.000,0.000,0.000,0.000,0.000,0.000,11.944,4.993,1.669,25.0,8.1,15.1,5.3,8.8,7.3,4.9,1.4,0.8,75.2,72.3,89.7,85.8,797.0,8.00,11,11,11,28,128,1,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,37.0,35.0,84.0,38.0,1.744,5.120,3.360,3.360,12.192,0.824,0.952,3.424,2.944,1.008,1.025,1.008,1.488,1.872,714,924,930,No,31,No,No,33,No,No,821,2593,0.0,0.1,0.1,0.000,0.054,9143,3370,90.1,34.1,100.0,2.343,0.079,1067,10,56,1.000,12.104,12.144,0,29.810,18.798,9.339,9.639,12.448,10.582,961.9,1502.3,788.7,961.9,18.0,14.0,0.0,0.0,38.3,14.0,0.0,0.0,3.4,0.0,0.0,0,No,No,No,No,Yes,No,29.4,22.9,785,758,30,8.0,215,13,0.191,0.095,0,0,0.000,0.000,0,
