 Benchmark 1,Benchmark 2,Benchmark 3
0,,
0,,
31,,
32,,
33,,
33,,
33,,
35,,
33,,
31,,
31,,
30,,
33,,
33,,
36,,
35,,
36,,
38,,
28,,
31,,
31,,
34,,
31,,
26,,
35,,
34,,
37,,
40,,
39,,
42,,
41,,
41,,
41,,
40,,
32,,
32,,
38,,
39,,
40,,
41,,
32,,
38,,
36,,
37,,
34,,
36,,
32,,
33,,
32,,
30,60,
28,0,
28,0,
28,50,
28,50,
28,50,
28,47,
39,46,
39,51,
39,50,
39,40,
39,40,
39,40,
39,43,
39,43,
39,38,
40,39,
40,40,
37,42,
38,41,
38,39,
39,41,
37,37,
37,39,
36,39,
38,43,
40,42,
39,41,
42,36,
41,40,
40,41,
41,41,
41,39,
41,41,
41,43,
40,37,57
42,39,60
42,39,60
41,41,60
31,41,58
40,42,60
38,42,58
44,42,59
41,42,58
42,40,57
31,44,59
33,46,59
35,46,60
32,43,58
31,47,35
33,47,58
33,47,42
33,44,42
32,47,42
31,37,42
33,44,43
33,45,44
34,45,42
35,52,42
36,58,42
37,50,43
37,45,42
27,45,42
37,39,42
36,39,41
37,47,42
36,20,42
35,55,43
37,59,44
37,60,45
36,50,45
36,31,44
36,32,45
37,34,43
37,34,42
38,31,42
33,37,43
33,41,44
34,40,41
33,48,43
28,51,43
33,30,43
33,27,28
33,32,43
33,34,42
32,59,42
32,28,42
32,31,43
30,38,42
33,35,42
32,35,41
31,33,42
31,37,60
32,35,59
31,37,45
33,39,44
32,36,32
31,35,47
34,39,47
31,42,38
31,28,47
29,31,43
31,36,42
30,36,45
32,39,39
34,40,59
35,36,58
30,35,58
31,35,58
28,40,59
31,17,59
31,18,59
31,42,41
32,39,33
32,58,34
32,55,43
30,55,41
24,54,57
32,44,57
32,60,53
32,37,36
30,59,34
33,60,42
32,60,39
31,60,44
31,60,44
32,60,56
34,59,39
34,60,39
37,60,51
31,57,58
36,55,40
35,55,54
34,59,51
34,58,51
34,60,51
34,59,46
32,58,26
33,60,44
35,59,54
38,59,35
58,60,43
30,60,51
40,60,45
43,60,51
30,60,49
30,60,37
23,60,60
29,60,59
33,60,60
35,60,56
33,60,59
37,60,60
42,60,59
46,60,57
33,60,60
41,60,60
27,49,60
34,50,60
46,48,60
55,0,40
58,0,60
46,0,60
44,0,60
40,0,60
41,PCIe Link Speed [GT/s],60
40,RTSS,60
28,,60
28,,60
38,,60
40,,60
45,,57
42,,60
42,,60
45,,58
43,,59
44,,59
44,,60
32,,60
43,,60
32,,60
27,,60
43,,60
29,,60
35,,60
39,,60
39,,60
43,,60
43,,60
42,,60
41,,60
43,,60
30,,59
52,,60
57,,60
54,,60
48,,60
46,,45
60,,49
56,,6
60,,6
55,,6
55,,6
58,,PCIe Link Speed [GT/s]
59,,RTSS
60,,
60,,
59,,
58,,
58,,
60,,
60,,
60,,
21,,
59,,
49,,
57,,
59,,
54,,
56,,
59,,
58,,
58,,
60,,
51,,
59,,
57,,
58,,
58,,
54,,
58,,
59,,
56,,
42,,
42,,
37,,
38,,
37,,
38,,
38,,
38,,
37,,
35,,
36,,
38,,
37,,
39,,
36,,
21,,
37,,
37,,
37,,
36,,
35,,
34,,
35,,
28,,
36,,
37,,
37,,
37,,
35,,
36,,
38,,
36,,
37,,
37,,
36,,
36,,
36,,
36,,
36,,
34,,
34,,
37,,
34,,
36,,
35,,
34,,
37,,
37,,
35,,
36,,
39,,
35,,
37,,
35,,
35,,
23,,
35,,
35,,
36,,
36,,
36,,
36,,
36,,
36,,
36,,
36,,
36,,
35,,
36,,
37,,
36,,
35,,
36,,
36,,
37,,
37,,
37,,
37,,
36,,
35,,
36,,
37,,
39,,
35,,
35,,
35,,
37,,
34,,
36,,
37,,
34,,
37,,
36,,
36,,
35,,
35,,
35,,
35,,
38,,
35,,
37,,
40,,
38,,
28,,
33,,
35,,
35,,
37,,
36,,
35,,
36,,
32,,
34,,
32,,
34,,
37,,
37,,
33,,
32,,
34,,
33,,
36,,
35,,
35,,
36,,
38,,
37,,
37,,
38,,
35,,
36,,
34,,
35,,
35,,
33,,
36,,
38,,
37,,
38,,
34,,
33,,
13,,
36,,
34,,
37,,
37,,
35,,
37,,
36,,
34,,
33,,
37,,
34,,
38,,
36,,
37,,
39,,
36,,
34,,
31,,
33,,
37,,
33,,
40,,
36,,
34,,
36,,
36,,
34,,
35,,
34,,
48,,
1,,
31,,
31,,
31,,
31,,
31,,
31,,
28,,
32,,
32,,
30,,
30,,
31,,
30,,
29,,
31,,
32,,
32,,
31,,
32,,
32,,
33,,
30,,
32,,
31,,
30,,
32,,
30,,
31,,
31,,
31,,
31,,
31,,
31,,
31,,
31,,
31,,
33,,
31,,
32,,
32,,
32,,
31,,
32,,
31,,
34,,
34,,
32,,
32,,
32,,
33,,
32,,
31,,
26,,
28,,
28,,
28,,
28,,
28,,
28,,
28,,
28,,
28,,
PCIe Link Speed [GT/s],,
RTSS,,
